iter	MAE
0	1078527.079
1	1071123.422
2	1064451.825
3	1059524.227
4	1053262.696
5	1045623.541
6	1040116.274
7	1035429.006
8	1030845.427
9	1025062.703
10	1019222.1
11	1014135.787
12	1007111.629
13	1001773.31
14	996465.1907
15	990949.0953
16	985704.402
17	981478.1505
18	976985.5152
19	971718.0323
20	967013.1999
21	961711.8864
22	957167.0517
23	952606.1966
24	949457.9733
25	946511.7016
26	942657.5255
27	938829.4545
28	936277.8489
29	931714.7668
30	927263.2024
31	923409.7877
32	919664.8102
33	916916.5185
34	912444.3437
35	908198.0122
36	904385.5596
37	900411.5993
38	897223.6834
39	893042.381
40	889868.2425
41	886576.5545
42	883491.4915
43	880449.8662
44	877642.7769
45	875048.4927
46	872342.6965
47	868768.5244
48	866386.8575
49	864283.963
50	861571.34
51	858873.2652
52	856846.5872
53	854085.9264
54	851423.9594
55	848890.6025
56	847043.8828
57	844313.0873
58	841521.6923
59	838312.7665
60	835716.7637
61	833107.7409
62	830573.5238
63	827390.6666
64	824615.6884
65	822293.704
66	819812.824
67	818256.631
68	815987.1963
69	812755.4776
70	811303.7488
71	810209.9899
72	808081.4959
73	805177.7095
74	803039.2849
75	800741.1856
76	799004.6972
77	797717.7239
78	795458.1288
79	793562.2936
80	791241.715
81	788911.2851
82	786786.4484
83	785387.0018
84	783618.6633
85	781807.2382
86	779985.9976
87	777787.1916
88	776412.5059
89	774892.1467
90	773319.9619
91	770631.8262
92	769030.201
93	766978.696
94	765157.3636
95	764334.1615
96	762441.3996
97	760227.1785
98	758572.5711
99	757383.741
100	755670.2855
101	753865.9261
102	752482.3747
103	750848.566
104	749873.3163
105	748395.2095
106	747498.3371
107	746196.2085
108	743963.1968
109	742379.2794
110	740138.1663
111	739039.8364
112	737435.1069
113	736300.8765
114	735169.1742
115	733720.4753
116	732409.3082
117	730770.747
118	729483.1626
119	727668.7046
120	726617.9253
121	724798.6346
122	723547.3257
123	722426.7902
124	721183.6075
125	720098.4003
126	719099.6051
127	717789.5769
128	717008.7922
129	715208.062
130	713787.8047
131	712474.6991
132	711864.2612
133	710987.8133
134	710309.3443
135	709538.4841
136	708647.4228
137	707588.6754
138	706699.6982
139	705980.7947
140	704340.008
141	702871.8161
142	701491.2021
143	700468.6496
144	698887.4724
145	697794.968
146	696911.6431
147	696054.795
148	694838.5436
149	694144.6451
150	693591.2636
151	692901.4021
152	691732.5898
153	690106.1285
154	689051.8168
155	688199.9938
156	687677.0536
157	686161.1261
158	684879.444
159	684343.9156
160	683755.9004
161	682681.8991
162	682146.8378
163	681024.6576
164	679857.3307
165	679129.1254
166	678665.6007
167	677691.1729
168	677058.3681
169	675677.2117
170	675158.0582
171	674328.185
172	673112.9123
173	671919.6532
174	671371.5965
175	671091.4073
176	669960.5894
177	669304.3516
178	667860.3126
179	667140.1804
180	666096.7993
181	665611.6274
182	665310.0009
183	664412.6666
184	663562.5014
185	663024.7932
186	662691.852
187	662068.9208
188	661321.8213
189	660409.8609
190	659782.0157
191	658698.6164
192	658210.0818
193	657066.3062
194	656428.1755
195	654997.6883
196	654555.6146
197	653270.9391
198	652756.8502
199	651682.9706
200	651206.9985
201	650139.8905
202	649118.7856
203	648321.604
204	647674.2163
205	647052.7014
206	645583.0417
207	644840.5958
208	644052.9047
209	643551.7983
210	643205.4004
211	642045.1696
212	641433.0318
213	640402.9889
214	639896.6119
215	639515.3612
216	639037.1553
217	638506.6027
218	637983.7424
219	636859.2933
220	636192.3054
221	635825.5358
222	635287.0388
223	634020.6421
224	633112.1075
225	632049.3883
226	631580.5863
227	631003.8769
228	630704.5232
229	629693.382
230	628939.5276
231	628434.3391
232	627352.0904
233	627012.9898
234	626675.1729
235	626145.6434
236	624957.2931
237	624275.9778
238	622907.5802
239	622287.7159
240	622080.2434
241	621666.5528
242	621374.6377
243	620841.2119
244	620267.3311
245	618856.6256
246	618335.1026
247	617919.3327
248	616864.4968
249	616421.551
250	615327.9878
251	614464.6253
252	614078.9637
253	612992.3373
254	612076.8816
255	611481.1204
256	610639.3953
257	610238.3883
258	609815.5789
259	608700.2724
260	608111.1053
261	607408.2757
262	606690.8404
263	606305.7463
264	605808.0648
265	605470.0698
266	604681.9393
267	603869.8972
268	603428.9098
269	603169.6442
270	602737.2466
271	602247.5703
272	601459.6892
273	601053.5267
274	600734.6763
275	600279.9085
276	600021.6878
277	599262.4219
278	598870.8967
279	597535.1277
280	597063.9866
281	596783.5814
282	596501.8245
283	596089.7906
284	595545.7112
285	595245.2795
286	594732.5569
287	593685.415
288	593463.1682
289	593249.8945
290	592942.9847
291	592590.4353
292	592059.2236
293	591682.8835
294	590945.3153
295	590565.0721
296	590369.6289
297	590056.6165
298	588975.6159
299	588532.0943
300	588059.6012
301	587664.409
302	587321.4243
303	586454.163
304	585893.3375
305	585679.152
306	584577.9099
307	584223.7778
308	583664.7797
309	582886.3817
310	582418.2163
311	582008.9475
312	581314.7664
313	581136.8548
314	580247.87
315	580040.8206
316	579612.2078
317	579424.7969
318	578760.806
319	577982.7962
320	577718.9026
321	577093.7245
322	576212.7973
323	576021.4634
324	575603.6761
325	575394.4992
326	575026.2253
327	574738.0968
328	574108.5231
329	573880.4329
330	573410.8091
331	572926.9055
332	572418.5486
333	572070.0135
334	571425.9285
335	570959.3453
336	570050.903
337	569780.1032
338	569521.1911
339	569239.1549
340	568845.8349
341	568651.8312
342	568481.2168
343	567210.5038
344	566575.5946
345	566085.2799
346	565329.7901
347	565155.7826
348	564716.4286
349	564237.4405
350	563580.8786
351	563070.3658
352	562856.8744
353	562630.9537
354	562270.4515
355	562077.6429
356	561818.726
357	561668.9533
358	561442.8746
359	561156.4854
360	560731.5496
361	560135.9664
362	559761.069
363	559375.2995
364	559135.1913
365	558589.0068
366	558295.9803
367	557948.989
368	557713.1011
369	557461.2216
370	557256.4848
371	557039.924
372	556221.6023
373	555759.8368
374	555313.6277
375	555204.2655
376	554863.6192
377	554395.9198
378	554215.5695
379	553989.8447
380	553596.4376
381	553017.8477
382	552759.3357
383	552150.8489
384	551591.2251
385	551323.6862
386	551050.861
387	550653.2743
388	549980.1125
389	549553.7594
390	548825.6496
391	548585.4454
392	548313.7922
393	548091.4551
394	547917.351
395	547223.8586
396	546632.7542
397	546404.1106
398	546079.8466
399	545525.8833
400	545126.8235
401	544731.2434
402	544563.3468
403	544186.0002
404	543899.1498
405	543398.3626
406	543055.5668
407	542523.283
408	541728.5621
409	541530.5197
410	540909.4518
411	540530.252
412	540387.1321
413	540092.7894
414	539955.8606
415	539671.257
416	539278.0416
417	538742.9787
418	538345.4075
419	537793.1492
420	537460.0963
421	536790.7245
422	536644.0429
423	536335.2225
424	536083.4036
425	535453.7271
426	535259.6373
427	535007.2344
428	534432.7334
429	533997.4419
430	533620.9057
431	533398.6338
432	532931.0615
433	532477.2287
434	531924.5971
435	531808.9754
436	531518.6632
437	531168.8652
438	530717.0456
439	530427.8123
440	529910.2869
441	529640.9443
442	529404.2142
443	528743.0201
444	528247.4825
445	528041.9575
446	527891.86
447	527520.4446
448	527226.5134
449	526590.1153
450	525871.3743
451	525292.1596
452	524822.7158
453	524250.1151
454	524042.1345
455	523796.4389
456	523403.5191
457	523052.747
458	522800.4172
459	522452.2755
460	522226.4235
461	522115.3942
462	521917.7456
463	521668.77
464	521190.7148
465	520717.883
466	520457.5287
467	520088.8856
468	519686.8948
469	519244.7385
470	518859.7632
471	518518.6477
472	518285.8378
473	517827.119
474	517245.4735
475	517011.0362
476	516720.7017
477	516372.6069
478	516092.1124
479	515922.1113
480	515585.5126
481	515446.5973
482	515219.4853
483	514788.0978
484	514598.8367
485	514433.8459
486	514210.829
487	513930.7228
488	513717.6384
489	513207.2305
490	513030.1469
491	512525.31
492	512344.5155
493	511942.303
494	511516.7155
495	511002.7781
496	510764.0922
497	510343.9504
498	509898.4873
499	509718.5949
500	509375.7114
501	509141.8421
502	508786.7547
503	508390.8367
504	507968.1541
505	507822.1005
506	507654.8505
507	507493.9098
508	507297.078
509	507170.1645
510	507009.3169
511	506780.7202
512	506560.2362
513	506233.3647
514	506018.365
515	505858.8379
