iter	Passed	Remaining
0	3	7519
1	6	8644
2	10	9009
3	14	9240
4	18	9397
5	22	9458
6	26	9496
7	30	9553
8	34	9570
9	38	9549
10	42	9560
11	46	9585
12	50	9600
13	54	9594
14	57	9584
15	61	9612
16	65	9610
17	69	9592
18	73	9579
19	77	9628
20	84	10011
21	91	10353
22	99	10686
23	106	10966
24	113	11205
25	119	11418
26	127	11633
27	133	11753
28	140	11985
29	149	12305
30	156	12493
31	164	12700
32	171	12855
33	180	13071
34	185	13039
35	193	13242
36	201	13409
37	209	13561
38	217	13731
39	227	13961
40	236	14206
41	244	14320
42	252	14403
43	260	14549
44	267	14614
45	275	14696
46	280	14619
47	288	14733
48	296	14823
49	303	14886
50	311	14966
51	320	15096
52	330	15253
53	339	15367
54	346	15423
55	355	15518
56	362	15535
57	370	15596
58	378	15667
59	384	15630
60	392	15708
61	400	15756
62	406	15707
63	413	15744
64	421	15796
65	429	15844
66	437	15871
67	446	15964
68	453	15989
69	462	16067
70	473	16205
71	487	16426
72	500	16642
73	514	16862
74	523	16928
75	528	16840
76	533	16802
77	538	16735
78	546	16741
79	553	16729
80	560	16741
81	568	16759
82	576	16774
83	584	16819
84	594	16883
85	602	16922
86	611	16970
87	620	17013
88	629	17051
89	638	17104
90	646	17118
91	655	17157
92	663	17177
93	674	17253
94	682	17289
95	695	17417
96	706	17511
97	719	17625
98	730	17723
99	740	17771
100	750	17830
101	759	17846
102	768	17884
103	776	17881
104	784	17883
105	791	17885
106	799	17890
107	807	17894
108	816	17906
109	823	17896
110	831	17903
111	840	17916
112	848	17918
113	855	17907
114	862	17896
115	870	17883
116	880	17923
117	888	17931
118	897	17949
119	905	17950
120	912	17943
121	919	17929
122	928	17934
123	935	17930
124	944	17948
125	952	17942
126	960	17944
127	967	17929
128	977	17957
129	987	18005
130	1000	18092
131	1011	18137
132	1018	18125
133	1026	18125
134	1034	18127
135	1042	18126
136	1050	18122
137	1058	18118
138	1065	18101
139	1073	18103
140	1079	18056
141	1086	18048
142	1094	18035
143	1101	18018
144	1109	18017
145	1116	18002
146	1124	18001
147	1131	17983
148	1139	17985
149	1147	17974
150	1151	17914
151	1159	17906
152	1166	17897
153	1174	17889
154	1181	17874
155	1189	17866
156	1196	17852
157	1204	17852
158	1211	17835
159	1220	17846
160	1230	17880
161	1243	17946
162	1251	17948
163	1259	17938
164	1268	17948
165	1274	17919
166	1282	17911
167	1292	17941
168	1306	18017
169	1314	18017
170	1320	17982
171	1329	17993
172	1337	17992
173	1344	17977
174	1352	17972
175	1359	17955
176	1367	17951
177	1375	17939
178	1384	17948
179	1392	17948
180	1400	17943
181	1409	17950
182	1417	17947
183	1424	17936
184	1429	17889
185	1437	17879
186	1444	17868
187	1450	17840
188	1458	17837
189	1466	17832
190	1473	17816
191	1481	17806
192	1488	17794
193	1498	17806
194	1502	17763
195	1510	17753
196	1519	17768
197	1529	17781
198	1538	17786
199	1549	17818
200	1557	17817
201	1565	17813
202	1573	17800
203	1580	17793
204	1588	17777
205	1595	17772
206	1603	17757
207	1612	17771
208	1620	17763
209	1629	17764
210	1636	17753
211	1644	17749
212	1651	17735
213	1659	17731
214	1667	17720
215	1676	17731
216	1684	17724
217	1692	17716
218	1699	17700
219	1707	17700
220	1718	17717
221	1725	17707
222	1733	17697
223	1741	17691
224	1748	17678
225	1757	17680
226	1765	17680
227	1775	17695
228	1784	17701
229	1794	17707
230	1804	17720
231	1809	17691
232	1815	17667
233	1820	17633
234	1825	17598
235	1830	17558
236	1834	17519
237	1839	17487
238	1846	17472
239	1855	17475
240	1863	17466
241	1871	17465
242	1877	17437
243	1884	17427
244	1891	17412
245	1898	17398
246	1906	17390
247	1913	17377
248	1921	17373
249	1928	17359
250	1937	17356
251	1944	17342
252	1952	17343
253	1960	17338
254	1969	17339
255	1977	17335
256	1985	17332
257	1993	17321
258	2003	17333
259	2011	17326
260	2021	17344
261	2030	17347
262	2038	17339
263	2046	17335
264	2057	17357
265	2066	17355
266	2076	17365
267	2085	17366
268	2093	17360
269	2100	17351
270	2107	17337
271	2116	17334
272	2123	17324
273	2133	17328
274	2140	17322
275	2149	17322
276	2156	17308
277	2164	17300
278	2172	17294
279	2180	17287
280	2187	17274
281	2196	17273
282	2204	17271
283	2213	17274
284	2222	17269
285	2231	17274
286	2239	17269
287	2247	17261
288	2254	17247
289	2262	17245
290	2271	17240
291	2280	17240
292	2287	17232
293	2295	17222
294	2302	17211
295	2310	17206
296	2317	17192
297	2328	17203
298	2336	17195
299	2345	17201
300	2354	17202
301	2365	17215
302	2373	17213
303	2383	17220
304	2393	17223
305	2401	17220
306	2413	17237
307	2420	17224
308	2429	17229
309	2437	17220
310	2444	17204
311	2452	17201
312	2462	17203
313	2470	17202
314	2479	17199
315	2484	17169
316	2494	17175
317	2499	17151
318	2504	17125
319	2510	17100
320	2515	17073
321	2523	17066
322	2530	17054
323	2538	17047
324	2545	17036
325	2554	17038
326	2564	17039
327	2572	17034
328	2580	17024
329	2587	17017
330	2594	17004
331	2602	16996
332	2610	16986
333	2618	16979
334	2626	16972
335	2634	16967
336	2642	16958
337	2651	16958
338	2657	16939
339	2664	16930
340	2673	16923
341	2681	16920
342	2690	16919
343	2699	16916
344	2708	16917
345	2718	16921
346	2727	16921
347	2735	16916
348	2742	16904
349	2751	16899
350	2758	16888
351	2767	16886
352	2776	16888
353	2784	16879
354	2791	16869
355	2799	16859
356	2806	16846
357	2814	16842
358	2821	16824
359	2829	16822
360	2836	16805
361	2843	16794
362	2851	16784
363	2859	16778
364	2867	16771
365	2870	16739
366	2875	16712
367	2884	16713
368	2892	16707
369	2900	16695
370	2905	16671
371	2912	16662
372	2917	16636
373	2923	16618
374	2931	16612
375	2938	16601
376	2946	16591
377	2953	16580
378	2961	16573
379	2968	16561
380	2977	16561
381	2986	16559
382	2995	16558
383	3004	16553
384	3013	16557
385	3020	16545
386	3029	16539
387	3036	16527
388	3044	16519
389	3051	16507
390	3059	16503
391	3066	16491
392	3075	16489
393	3082	16477
394	3091	16473
395	3098	16463
396	3108	16465
397	3115	16454
398	3123	16449
399	3129	16431
400	3138	16428
401	3149	16434
402	3157	16431
403	3166	16429
404	3175	16423
405	3183	16416
406	3190	16407
407	3197	16394
408	3205	16389
409	3210	16364
410	3217	16352
411	3228	16359
412	3237	16359
413	3245	16354
414	3255	16355
415	3265	16357
416	3273	16352
417	3281	16342
418	3288	16335
419	3295	16322
420	3304	16318
421	3312	16310
422	3319	16301
423	3327	16293
424	3335	16284
425	3341	16269
426	3350	16267
427	3361	16271
428	3369	16267
429	3377	16259
430	3385	16250
431	3393	16242
432	3400	16234
433	3408	16225
434	3417	16223
435	3425	16214
436	3433	16211
437	3441	16200
438	3450	16198
439	3459	16194
440	3469	16196
441	3476	16185
442	3487	16192
443	3495	16185
444	3499	16160
445	3505	16145
446	3513	16136
447	3521	16131
448	3532	16137
449	3540	16130
450	3545	16108
451	3552	16094
452	3559	16084
453	3564	16062
454	3568	16037
455	3575	16028
456	3583	16019
457	3590	16007
458	3597	15998
459	3605	15987
460	3612	15977
461	3619	15966
462	3627	15957
463	3632	15937
464	3639	15929
465	3648	15924
466	3655	15913
467	3663	15905
468	3670	15894
469	3678	15887
470	3685	15878
471	3694	15874
472	3705	15879
473	3715	15882
474	3726	15887
475	3739	15898
476	3751	15911
477	3760	15905
478	3767	15895
479	3775	15887
480	3780	15868
481	3788	15863
482	3797	15856
483	3804	15846
484	3812	15838
485	3819	15827
486	3825	15812
487	3831	15797
488	3839	15789
489	3846	15778
490	3854	15771
491	3861	15761
492	3869	15753
493	3878	15749
494	3890	15758
495	3902	15768
496	3914	15776
497	3923	15774
498	3931	15764
499	3940	15760
500	3947	15750
501	3955	15743
502	3963	15735
503	3984	15780
504	3992	15772
505	4000	15765
506	4009	15759
507	4017	15755
508	4025	15744
509	4033	15739
510	4040	15727
511	4047	15716
512	4052	15698
513	4060	15687
514	4069	15685
515	4076	15674
516	4084	15668
517	4092	15657
518	4101	15653
519	4108	15645
520	4117	15641
521	4126	15637
522	4135	15632
523	4142	15622
524	4151	15617
525	4158	15605
526	4165	15596
527	4173	15586
528	4181	15580
529	4189	15570
530	4199	15570
531	4207	15565
532	4216	15560
533	4224	15554
534	4232	15546
535	4240	15536
536	4249	15534
537	4259	15531
538	4268	15530
