iter	MAE
0	996542.7517
1	989796.2103
2	983750.775
3	978525.8748
4	972940.25
5	967993.4102
6	963407.9754
7	958122.2746
8	952209.8308
9	947101.329
10	941350.3421
11	937524.969
12	932782.8403
13	928128.5325
14	924656.9632
15	919395.1809
16	914692.5742
17	910831.9862
18	907299.6686
19	904465.0698
20	900454.3862
21	896240.2796
22	892147.2842
23	888976.7112
24	885871.3687
25	882328.4243
26	879398.2156
27	876058.603
28	872655.9148
29	869329.3386
30	866200.5389
31	862973.4261
32	859822.9383
33	856374.1129
34	853032.0085
35	850172.3112
36	847125.8544
37	845027.802
38	842531.7891
39	840384.444
40	837848.2883
41	835089.9058
42	832446.0928
43	830781.2573
44	827694.5713
45	825660.926
46	822983.624
47	820602.717
48	818321.5985
49	815492.2525
50	812610.0364
51	810028.7581
52	807512.0731
53	804565.2064
54	801881.771
55	799698.1498
56	798644.913
57	796023.8589
58	794180.692
59	792294.6524
60	789483.4848
61	786751.3097
62	784442.3309
63	782003.1051
64	779971.0736
65	777492.3033
66	776199.8272
67	774562.43
68	772737.4857
69	770038.2175
70	768290.9774
71	766214.9774
72	763651.9235
73	761779.4121
74	759992.6088
75	759073.0455
76	757602.1217
77	755893.7183
78	754729.3939
79	753108.2762
80	751444.0148
81	749626.354
82	748370.0649
83	745990.1278
84	743692.3577
85	741908.3934
86	740230.624
87	737925.108
88	736501.0462
89	734714.2669
90	733420.0383
91	732013.5996
92	730773.4904
93	729319.4841
94	727604.1939
95	726691.8121
96	725605.5922
97	724302.6173
98	723387.4386
99	721947.3756
100	720613.149
101	719663.5643
102	718397.1297
103	716612.916
104	714935.0053
105	713358.0466
106	711428.1032
107	710165.886
108	709304.925
109	708541.2977
110	707228.3945
111	706151.0592
112	704868.9109
113	703109.5138
114	701418.6943
115	700707.1662
116	699930.5797
117	698270.6438
118	696691.7687
119	695726.1467
120	694948.298
121	693253.8496
122	692362.2382
123	691054.8766
124	689979.7569
125	688799.2109
126	687767.7131
127	686830.9088
128	686163.8316
129	685113.4353
130	684128.6231
131	682586.9191
132	681434.428
133	680520.9271
134	679865.7053
135	678765.4125
136	678060.6964
137	677335.56
138	676867.7945
139	675805.94
140	675058.1878
141	673718.193
142	673254.5606
143	672751.3115
144	672124.3833
145	671191.7397
146	670521.8958
147	669912.6843
148	669153.4035
149	668351.3097
150	667134.2372
151	666283.178
152	665301.172
153	663993.9152
154	663544.9067
155	662649.3318
156	661777.3056
157	661318.9126
158	660047.4155
159	659264.6152
160	658524.8505
161	657650.8909
162	657228.4707
163	656276.4121
164	655475.2137
165	654619.0712
166	653921.4569
167	653065.3783
168	652213.9658
169	651157.4656
170	650694.6092
171	649494.436
172	648748.35
173	647796.4923
174	647032.0677
175	646079.3153
176	645356.5188
177	644651.1239
178	643793.1057
179	643257.5786
180	642501.7912
181	641836.1915
182	641175.361
183	640720.292
184	640085.4571
185	639428.8027
186	638825.0109
187	638320.9915
188	638003.8017
189	636978.7547
190	636651.7226
191	636184.4373
192	635068.3675
193	634501.0132
194	634167.7337
195	633672.6844
196	633300.4829
197	632034.9094
198	630867.0715
199	630249.0298
200	629618.4068
201	629273.0876
202	628520.9098
203	627746.7968
204	626827.1565
205	626464.6312
206	626231.4547
207	625958.8098
208	625737.7319
209	625350.54
210	624977.2495
211	624691.4489
212	624143.532
213	623417.0954
214	622538.376
215	622010.0441
216	621440.4067
217	621055.9452
218	620403.9148
219	619989.0465
220	619311.7896
221	618754.1988
222	618501.8755
223	618256.1804
224	617918.1501
225	617670.8326
226	617090.3799
227	616302.7082
228	615664.4153
229	615378.7823
230	614522.267
231	613956.9609
232	613423.9328
233	612866.7597
234	612334.9349
235	611744.1955
236	610866.4457
237	610219.1175
238	610012.211
239	609390.7718
240	608766.7919
241	608237.7919
242	607771.4696
243	607040.6257
244	606506.7498
245	606267.8587
246	605780.7351
247	605494.1458
248	605084.082
249	604819.1736
250	604442.4223
251	604107.5958
252	603656.8242
253	603230.2998
254	602593.4218
255	602285.9413
256	601466.0525
257	601067.2688
258	600468.8103
259	599964.0908
260	599773.3136
261	598965.5425
262	598731.8736
263	598490.665
264	598261.1858
265	597485.8033
266	597216.2476
267	596809.0764
268	596289.7584
269	595898.6045
270	595385.0256
271	595189.8064
272	594473.6676
273	594134.3589
274	593864.2877
275	593311.4803
276	592655.3951
277	592499.7601
278	592166.5044
279	591593.0017
280	591407.4224
281	591085.2697
282	590379.8266
283	590149.3516
284	589914.6998
285	589733.8784
286	589518.5979
287	589048.2505
288	588552.9891
289	588105.8166
290	587783.4163
291	587232.5085
292	587042.298
293	586784.6216
294	586529.7411
295	586170.5272
296	585521.1996
297	585337.3072
298	584844.8834
299	584595.9786
300	584187.071
301	583646.5217
302	583207.2397
303	582527.6735
304	582157.4182
305	581928.3704
306	581706.8647
307	581384.2864
308	580863.4309
309	580507.3709
310	580357.1059
311	580225.4698
312	579876.8694
313	579692.5448
314	579322.9615
315	578997.4103
316	578291.2413
317	578091.2201
318	577541.2577
319	576752.3437
320	576615.3054
321	576258.5665
322	576054.0971
323	575466.8827
324	575188.6461
325	574909.0536
326	574749.0686
327	574584.5593
328	574070.1156
329	573736.1133
330	573219.2544
331	572887.283
332	572642.4119
333	572491.8352
334	571876.5223
335	571510.8641
336	570898.7932
337	570687.6364
338	570008.4391
339	569575.2286
340	569030.0656
341	568684.4145
342	568371.9084
343	568031.2944
344	567820.8778
345	567497.49
346	567010.4079
347	566330.9759
348	566048.9627
349	565925.4324
350	565769.9911
351	565511.9702
352	565198.4779
353	565054.9931
354	564819.9482
355	564526.6427
356	564078.3032
357	563899.9339
358	563619.953
359	563406.2458
360	562934.0165
361	562642.3342
362	562344.8593
363	562037.542
364	561824.7075
365	561535.4469
366	561076.9761
367	560886.4676
368	560630.8568
369	560310.9826
370	559818.799
371	559304.6833
372	558874.1934
373	558724.0392
374	558430.6825
375	558205.0306
376	557540.7844
377	557270.7021
378	557011.9892
379	556555.8506
380	556277.4541
381	556047.7341
382	555810.163
383	555723.785
384	555428.6544
385	555262.6546
386	554876.2178
387	554640.8957
388	554452.5953
389	554247.4045
390	553777.0363
391	553643.1864
392	553244.6865
393	553046.9167
394	552740.3912
395	552573.6505
396	552138.3973
397	551940.1168
398	551850.0887
399	551487.0216
400	551220.6215
401	551065.5724
402	550674.5256
403	550557.3773
404	550408.9023
405	549915.916
406	549364.295
407	549118.053
408	548807.1211
409	548607.8583
410	548390.4319
411	548223.1256
412	548091.0402
413	547757.3898
414	547533.9168
415	547223.463
416	546956.3603
417	546726.5475
418	546352.5211
419	546154.234
420	545705.9989
421	545273.67
422	545084.0268
423	544838.1332
424	544565.8564
425	544144.7791
426	543913.5414
427	543358.6978
428	542931.0608
429	542699.7544
430	542489.0079
431	542326.2939
432	542157.824
433	541982.2293
434	541738.1984
435	541469.2661
436	541160.8981
437	540973.8744
438	540753.0411
439	540514.1023
440	540380.6268
441	540144.4234
442	539970.0618
443	539655.6723
444	539449.3625
445	539223.7141
446	538949.7483
447	538809.8174
448	538547.3442
449	538388.5711
450	538221.5374
451	538116.2526
452	537988.1809
453	537692.3069
454	537593.1527
455	537240.3228
456	537092.7342
457	536703.5555
458	536378.2823
459	536183.0151
460	535973.4859
461	535826.0199
462	535697.3064
463	535437.7
464	535235.6303
465	534865.38
466	534540.0233
467	534220.5566
468	533823.9178
469	533598.0728
470	533272.8042
471	532977.8465
472	532618.5834
473	532450.416
474	532250.8487
475	531951.0084
476	531639.6758
477	531348.9717
478	531086.0429
479	530788.5567
480	530497.1767
481	530154.4054
482	529982.8457
483	529698.7409
484	529384.5255
485	529160.7523
486	528830.4861
487	528587.563
488	528362.2389
489	528031.4914
490	527802.3855
491	527474.3097
492	527314.7158
493	527156.7157
494	526888.3363
495	526776.9335
496	526485.1682
497	526258.8953
498	526117.3263
499	525949.4244
500	525711.8876
501	525540.4402
502	525378.1801
503	525066.3098
504	524815.6207
505	524670.364
506	524568.6877
507	524435.6212
508	524233.3052
509	523951.3741
510	523761.0239
511	523683.7895
512	523358.6475
513	523237.3167
514	523146.6241
515	523000.9836
516	522910.8472
517	522650.3138
518	522498.6656
519	522333.1102
520	522160.6277
521	522064.0617
522	521689.8288
523	521591.2859
524	521500.1823
525	521361.1541
526	521232.8541
527	521053.6993
528	520868.9151
529	520718.6163
530	520518.5823
531	520208.875
532	520019.5765
533	519880.7875
534	519695.1985
535	519367.9946
536	519189.0712
537	519070.3644
538	518984.7039
539	518907.4031
540	518779.9261
541	518554.8678
542	518277.9938
543	518156.9966
544	517930.662
545	517803.7543
546	517513.1129
547	517241.7142
548	517155.9724
549	517021.7239
550	516882.9167
551	516589.7697
552	516313.8735
553	516213.9613
554	516099.3705
555	515903.804
556	515648.5096
557	515411.5949
558	515174.0684
559	515075.9416
560	514915.5485
561	514746.8239
562	514415.3902
563	514293.7519
564	514052.6541
565	513762.6974
566	513532.0606
