iter	Passed	Remaining
0	6	15841
1	15	18737
2	23	19542
3	32	20148
4	40	20352
5	49	20699
6	58	20874
7	63	19876
8	68	18904
9	73	18194
10	78	17700
11	83	17218
12	91	17533
13	100	17868
14	109	18218
15	120	18663
16	129	18905
17	138	19042
18	146	19192
19	156	19422
20	167	19716
21	176	19912
22	188	20312
23	199	20594
24	209	20691
25	218	20748
26	227	20847
27	236	20903
28	247	21060
29	256	21111
30	265	21150
31	275	21221
32	284	21295
33	294	21386
34	303	21400
35	313	21428
36	323	21504
37	331	21482
38	341	21520
39	350	21535
40	359	21559
41	368	21536
42	377	21548
43	385	21522
44	395	21591
45	405	21608
46	414	21654
47	424	21686
48	433	21704
49	444	21763
50	452	21722
51	460	21671
52	471	21756
53	480	21786
54	491	21832
55	500	21830
56	510	21861
57	519	21888
58	529	21910
59	539	21925
60	549	21964
61	562	22102
62	571	22121
63	580	22087
64	589	22089
65	597	22018
66	606	22018
67	615	22006
68	625	22048
69	637	22121
70	651	22272
71	668	22553
72	686	22817
73	701	23000
74	711	23015
75	720	22990
76	730	22971
77	740	22978
78	751	23038
79	764	23121
80	778	23244
81	791	23345
82	805	23467
83	819	23573
84	837	23806
85	850	23872
86	862	23921
87	872	23904
88	884	23950
89	897	24020
90	911	24122
91	927	24271
92	938	24284
93	950	24320
94	964	24418
95	979	24534
96	992	24580
97	1005	24640
98	1015	24625
99	1023	24567
100	1034	24582
101	1044	24551
102	1052	24499
103	1061	24463
104	1070	24411
105	1079	24385
106	1088	24334
107	1098	24322
108	1107	24289
109	1117	24274
110	1126	24250
111	1136	24240
112	1146	24209
113	1155	24179
114	1164	24151
115	1175	24156
116	1184	24126
117	1194	24121
118	1205	24117
119	1219	24192
120	1230	24195
121	1240	24183
122	1248	24135
123	1259	24126
124	1268	24104
125	1279	24098
126	1288	24080
127	1298	24053
128	1306	24021
129	1315	23989
130	1325	23965
131	1335	23950
132	1344	23923
133	1353	23895
134	1362	23861
135	1372	23851
136	1381	23828
137	1391	23821
138	1400	23783
139	1410	23783
140	1421	23775
141	1432	23785
142	1442	23779
143	1452	23759
144	1461	23728
145	1471	23720
146	1479	23683
147	1488	23660
148	1498	23637
149	1507	23610
150	1515	23581
151	1525	23561
152	1535	23557
153	1546	23562
154	1556	23552
155	1565	23518
156	1573	23484
157	1583	23473
158	1595	23497
159	1606	23498
160	1615	23468
161	1625	23463
162	1635	23445
163	1641	23379
164	1651	23373
165	1659	23339
166	1669	23316
167	1678	23293
168	1687	23276
169	1696	23247
170	1705	23228
171	1715	23221
172	1726	23226
173	1738	23235
174	1748	23233
175	1758	23216
176	1768	23206
177	1776	23176
178	1787	23180
179	1797	23173
180	1808	23166
181	1818	23159
182	1828	23146
183	1837	23132
184	1847	23124
185	1860	23142
186	1876	23212
187	1890	23248
188	1900	23234
189	1908	23205
190	1917	23178
191	1927	23170
192	1937	23162
193	1948	23156
194	1957	23134
195	1968	23141
196	1977	23122
197	1986	23096
198	1995	23073
199	2003	23045
200	2013	23027
201	2021	22998
202	2031	22983
203	2039	22954
204	2048	22932
205	2058	22920
206	2068	22912
207	2079	22915
208	2088	22892
209	2099	22897
210	2110	22896
211	2119	22874
212	2128	22856
213	2137	22832
214	2146	22809
215	2154	22786
216	2164	22774
217	2175	22772
218	2186	22772
219	2196	22767
220	2206	22755
221	2216	22744
222	2227	22740
223	2236	22726
224	2246	22716
225	2257	22712
226	2269	22726
227	2281	22739
228	2291	22726
229	2301	22717
230	2310	22697
231	2320	22686
232	2326	22633
233	2334	22606
234	2345	22610
235	2356	22605
236	2365	22587
237	2374	22566
238	2382	22537
239	2391	22519
240	2401	22506
241	2409	22485
242	2419	22471
243	2428	22451
244	2438	22443
245	2448	22433
246	2458	22424
247	2477	22496
248	2489	22506
249	2499	22492
250	2509	22481
251	2518	22468
252	2527	22452
253	2536	22430
254	2546	22419
255	2556	22405
256	2566	22400
257	2584	22459
258	2596	22467
259	2607	22461
260	2616	22449
261	2625	22427
262	2635	22420
263	2645	22405
264	2654	22391
265	2664	22381
266	2674	22364
267	2683	22348
268	2692	22331
269	2701	22314
270	2711	22299
271	2722	22301
272	2733	22297
273	2743	22286
274	2752	22273
275	2763	22265
276	2772	22248
277	2782	22239
278	2791	22225
279	2802	22218
280	2811	22200
281	2820	22185
282	2830	22174
283	2840	22163
284	2850	22155
285	2860	22143
286	2869	22126
287	2879	22119
288	2889	22105
289	2899	22097
290	2908	22076
291	2916	22054
292	2927	22048
293	2936	22036
294	2946	22026
295	2955	22007
296	2965	21997
297	2975	21984
298	2981	21950
299	2993	21951
300	3005	21959
301	3015	21947
302	3024	21927
303	3034	21917
304	3045	21920
305	3055	21910
306	3066	21906
307	3073	21875
308	3084	21868
309	3095	21868
310	3104	21851
311	3114	21841
312	3125	21840
313	3134	21821
314	3143	21805
315	3152	21784
316	3160	21765
317	3170	21756
318	3179	21740
319	3189	21726
320	3198	21715
321	3208	21704
322	3217	21684
323	3227	21673
324	3235	21654
325	3245	21640
326	3254	21629
327	3264	21614
328	3273	21601
329	3281	21581
330	3288	21547
331	3296	21528
332	3306	21517
333	3315	21498
334	3324	21483
335	3333	21469
336	3344	21463
337	3352	21446
338	3357	21402
339	3365	21381
340	3374	21365
341	3384	21354
342	3392	21334
343	3403	21330
344	3413	21320
345	3423	21312
346	3432	21297
347	3441	21281
348	3450	21269
349	3461	21260
350	3470	21247
351	3479	21230
352	3488	21219
353	3497	21201
354	3506	21190
355	3515	21172
356	3524	21156
357	3533	21142
358	3542	21127
359	3552	21118
360	3562	21108
361	3572	21096
362	3581	21086
363	3592	21078
364	3602	21069
365	3612	21060
366	3623	21057
367	3633	21051
368	3643	21040
369	3655	21043
370	3665	21032
371	3674	21020
372	3686	21019
373	3696	21015
374	3707	21009
