Feature,Importance
daily_promo_order_count_roll7,1849.541015625
covid_intensity_lag365,1338.5582275390625
active_customer_demographic_mix_score_roll7,1269.7332763671875
days_until_holiday,1248.4168701171875
promo_penetration_rate_roll7,1206.046142578125
wt_unique_visitors_lag365,1008.07568359375
daily_discount_depth_lag365,988.3157348632812
aov_roll7,934.1813354492188
high_intent_traffic_share_roll7,928.2882080078125
covid_intensity_roll30,817.2000732421875
high_intent_traffic_share_roll30,810.4843139648438
new_customer_aov_lag30,807.3130493164062
category_reason_weighted_return_risk_lag365,801.1307373046875
daily_discount_depth_roll7,799.261962890625
daily_discount_depth_lag30,780.38720703125
regional_revenue_concentration_index_roll7,767.3529663085938
daily_discount_amount_roll7,759.90966796875
aov_roll30,752.1075439453125
day_of_week,705.2077026367188
daily_promo_line_count_roll7,703.69140625
legacy_revenue_share_roll7,702.6211547851562
city_encoded_lag365,701.7117309570312
daily_discount_amount_lag30,695.3416137695312
daily_discount_depth_lag7,693.3345336914062
promo_penetration_rate_lag365,685.7100219726562
daily_order_line_count_lag30,682.4212646484375
daily_discount_depth_roll30,670.856201171875
daily_total_item_revenue_lag365,668.2428588867188
size_mix_return_pressure_roll7,656.4957885742188
covid_intensity_lag30,652.1852416992188
avg_delivery_days_lag7,636.4166870117188
daily_expected_margin_mix_roll30,635.1702270507812
aov_lag7,632.4332885742188
legacy_aov_roll7,632.3794555664062
daily_order_count_lag30,627.93798828125
wt_page_views_lag365,624.2750244140625
daily_discount_amount_lag7,614.367919921875
payment_method_cancellation_risk_lag7,609.4485473632812
active_customer_demographic_mix_score_lag7,602.2166137695312
daily_expected_margin_mix_roll7,600.7515258789062
daily_gross_revenue_before_discount_lag365,600.2415161132812
daily_cod_order_ratio_lag30,596.4656982421875
financing_intensity_index_lag365,585.0868530273438
promo_penetration_rate_roll30,585.018798828125
new_customer_aov_roll30,578.9188232421875
daily_total_cogs_lag30,578.5618286132812
daily_gross_revenue_before_discount_roll30,578.4334106445312
active_customer_demographic_mix_score_lag30,574.5800170898438
daily_stockout_rate_lag30,567.7919311523438
wt_sessions_lag7,567.6644287109375
legacy_aov_roll30,564.564697265625
new_customer_aov_lag7,562.5604248046875
wt_avg_session_dur_roll7,560.7698974609375
financing_intensity_index_roll30,560.1985473632812
category_encoded_lag365,559.4248657226562
payment_method_cancellation_risk_lag365,549.976318359375
daily_promo_order_count_lag7,548.9902954101562
wt_avg_session_dur_lag30,545.9602661132812
upt_lag30,544.2908935546875
daily_gross_revenue_before_discount_lag30,542.963134765625
wt_page_views_roll7,535.3361206054688
category_reason_weighted_return_risk_roll7,533.5073852539062
new_customer_aov_roll7,529.9404907226562
wt_avg_session_dur_lag365,524.9382934570312
wt_bounce_rate_roll7,523.0889282226562
high_intent_traffic_share_lag30,520.517822265625
wt_page_views_lag7,519.88427734375
daily_expected_margin_mix_lag30,518.8225708007812
month,514.816650390625
daily_avg_fill_rate_lag365,511.7758483886719
size_mix_return_pressure_lag7,508.3940734863281
daily_total_quantity_lag30,507.4166564941406
wt_page_views_roll30,504.9647216796875
legacy_aov_lag365,504.5087890625
high_intent_traffic_share_lag365,501.4615783691406
daily_mobile_order_ratio_lag7,500.80914306640625
wt_bounce_rate_lag7,498.4890441894531
daily_total_item_revenue_roll30,497.9086608886719
city_encoded_lag7,497.5282897949219
customer_repurchase_cadence_index_lag7,496.2920227050781
daily_cod_order_ratio_roll7,484.1986083984375
daily_order_line_count_lag365,480.1499938964844
daily_order_count_lag365,479.77777099609375
new_customer_aov_lag365,478.8829650878906
week_of_year,477.7086486816406
aov_lag365,476.9732971191406
daily_order_count_lag7,475.09503173828125
daily_stockout_rate_lag365,473.0520935058594
daily_mobile_order_ratio_roll30,472.33251953125
daily_cod_order_ratio_lag7,472.10638427734375
category_encoded_roll7,466.0667419433594
size_mix_return_pressure_lag365,465.2259521484375
regional_revenue_concentration_index_lag365,461.2933349609375
financing_intensity_index_roll7,460.779541015625
regional_revenue_concentration_index_roll30,460.7154541015625
avg_delivery_days_lag30,460.2126770019531
financing_intensity_index_lag30,458.5411682128906
upt_lag365,458.06134033203125
payment_method_cancellation_risk_roll7,456.2847900390625
daily_mobile_order_ratio_lag365,455.6451721191406
daily_avg_fill_rate_roll30,454.55194091796875
upt_roll7,453.17059326171875
wt_bounce_rate_lag30,452.54107666015625
day_of_year,452.10162353515625
wt_unique_visitors_roll30,447.3499450683594
daily_stockout_rate_roll30,445.433837890625
daily_discount_amount_roll30,444.1236572265625
daily_gross_revenue_before_discount_roll7,441.4529113769531
daily_return_risk_index_lag30,439.5173034667969
category_encoded_lag30,436.263427734375
regional_revenue_concentration_index_lag7,432.37994384765625
daily_discount_amount_lag365,430.5508728027344
category_reason_weighted_return_risk_lag30,430.4776306152344
daily_avg_fill_rate_lag7,427.8662414550781
size_mix_return_pressure_lag30,427.4980163574219
customer_repurchase_cadence_index_lag365,421.2724914550781
legacy_revenue_share_lag30,418.7399597167969
daily_cod_order_ratio_lag365,418.2015075683594
daily_mobile_order_ratio_lag30,418.03082275390625
daily_total_item_revenue_lag30,413.5898132324219
customer_repurchase_cadence_index_lag30,410.5556640625
legacy_revenue_share_lag7,409.9666442871094
daily_stockout_rate_lag7,409.7428894042969
daily_return_risk_index_roll7,409.01995849609375
daily_promo_order_count_roll30,409.0026550292969
wt_bounce_rate_lag365,406.4819641113281
daily_total_cogs_roll7,405.9172058105469
wt_sessions_lag365,402.8999938964844
payment_method_cancellation_risk_lag30,402.4320373535156
daily_total_quantity_lag7,401.61431884765625
legacy_order_ratio_roll30,400.34210205078125
daily_total_cogs_roll30,400.2500305175781
daily_order_count_roll30,398.8954162597656
payment_method_cancellation_risk_roll30,396.0135192871094
daily_stockout_rate_roll7,395.1671447753906
daily_mobile_order_ratio_roll7,395.00836181640625
category_encoded_lag7,392.8353271484375
high_intent_traffic_share_lag7,392.4895935058594
