Feature,Importance
daily_promo_order_count_roll7,1.1925468444824219
daily_discount_amount_roll7,1.06219482421875
daily_discount_depth_roll7,1.0549134016036987
promo_penetration_rate_roll7,0.424021452665329
daily_discount_depth_lag365,0.3403840959072113
aov_roll7,0.23914094269275665
daily_promo_line_count_roll7,0.18692290782928467
daily_order_line_count_lag365,0.11259990185499191
legacy_aov_roll7,0.08855199068784714
daily_discount_depth_lag7,0.07980061322450638
covid_intensity_lag365,0.06690900772809982
promo_penetration_rate_lag365,0.06279755383729935
week_of_year,0.05704303830862045
daily_discount_amount_lag30,0.04483047500252724
daily_promo_line_count_lag7,0.042446210980415344
daily_discount_depth_lag30,0.03801746666431427
daily_discount_amount_lag365,0.03339461609721184
daily_total_cogs_roll30,0.03281340003013611
month,0.030693428590893745
day_of_year,0.030543223023414612
days_until_holiday,0.028011461719870567
promo_penetration_rate_roll30,0.027275260537862778
daily_discount_amount_lag7,0.027198003605008125
daily_promo_order_count_lag365,0.022207029163837433
daily_gross_revenue_before_discount_lag365,0.02189173549413681
daily_promo_order_count_roll30,0.021571030840277672
promo_penetration_rate_lag7,0.018633751198649406
active_customer_demographic_mix_score_lag30,0.018163563683629036
daily_promo_line_count_roll30,0.014782237820327282
city_encoded_lag365,0.014412637799978256
legacy_order_ratio_roll30,0.013630371540784836
daily_total_quantity_lag365,0.010101664811372757
daily_avg_fill_rate_lag365,0.008973508141934872
category_encoded_roll30,0.008849703706800938
daily_expected_margin_mix_roll30,0.008256050758063793
aov_lag365,0.008223006501793861
covid_intensity_lag30,0.007639000192284584
active_customer_demographic_mix_score_lag7,0.007227360736578703
daily_promo_line_count_lag365,0.006326168775558472
daily_discount_depth_roll30,0.006259037647396326
customer_repurchase_cadence_index_roll30,0.005980110261589289
daily_promo_line_count_lag30,0.00588944973424077
wt_unique_visitors_roll7,0.005443853326141834
new_customer_aov_roll30,0.0050675636157393456
daily_return_risk_index_roll7,0.004622798413038254
promo_penetration_rate_lag30,0.004520040471106768
legacy_aov_roll30,0.004327560309320688
covid_intensity_roll30,0.004226716235280037
daily_discount_amount_roll30,0.004125221166759729
legacy_aov_lag365,0.004053397104144096
legacy_order_ratio_roll7,0.004003608599305153
customer_repurchase_cadence_index_lag365,0.003873014822602272
daily_order_line_count_roll30,0.00381130026653409
covid_intensity_roll7,0.0037893326953053474
daily_promo_order_count_lag30,0.003489996073767543
daily_total_item_revenue_lag365,0.0034390774089843035
covid_intensity,0.0034379716962575912
daily_total_item_revenue_lag30,0.00338190421462059
daily_order_count_lag30,0.0033481738064438105
category_encoded_roll7,0.003256105352193117
daily_promo_order_count_lag7,0.003135500242933631
wt_unique_visitors_roll30,0.0030362436082214117
daily_order_count_lag365,0.0028943936340510845
daily_avg_fill_rate_roll30,0.0028335268143564463
daily_expected_margin_mix_roll7,0.002801245078444481
category_reason_weighted_return_risk_roll30,0.0027953775133937597
wt_sessions_roll7,0.002692562062293291
daily_order_count_roll30,0.0026877052150666714
aov_lag7,0.002613157033920288
aov_roll30,0.002526473021134734
wt_avg_session_dur_lag365,0.0024972734972834587
legacy_revenue_share_lag7,0.002496397588402033
new_customer_aov_roll7,0.002486568409949541
category_reason_weighted_return_risk_lag7,0.002450668951496482
legacy_revenue_share_roll7,0.0024399582762271166
wt_page_views_roll7,0.002410136628895998
daily_total_cogs_lag365,0.0023666038177907467
wt_page_views_lag30,0.002230202779173851
customer_repurchase_cadence_index_roll7,0.0022198399528861046
category_reason_weighted_return_risk_roll7,0.0021875384263694286
size_mix_return_pressure_roll30,0.0019958065822720528
daily_return_risk_index_roll30,0.0019334061071276665
city_encoded_roll30,0.0019229139434173703
covid_intensity_lag7,0.0019207457080483437
active_customer_demographic_mix_score_roll7,0.0019113091984763741
wt_sessions_lag30,0.001887079211883247
size_mix_return_pressure_roll7,0.001849739346653223
daily_order_line_count_lag30,0.0018478631973266602
wt_bounce_rate_roll30,0.0018466080073267221
daily_total_quantity_lag30,0.0018138694576919079
legacy_revenue_share_lag30,0.0018106740899384022
daily_total_cogs_lag30,0.0017726696096360683
wt_unique_visitors_lag30,0.0017573212971910834
upt_roll30,0.001753742340952158
daily_return_risk_index_lag30,0.001743862871080637
legacy_revenue_share_roll30,0.0017312882700935006
daily_gross_revenue_before_discount_roll30,0.0016827859217301011
category_encoded_lag365,0.0016388247022405267
aov_lag30,0.0016322178998962045
daily_mobile_order_ratio_roll30,0.0016198873054236174
daily_avg_fill_rate_roll7,0.0016017114976420999
regional_revenue_concentration_index_roll30,0.0015767948934808373
city_encoded_lag30,0.0015765574062243104
avg_delivery_days_roll30,0.001563533442094922
city_encoded_roll7,0.001527078216895461
daily_order_line_count_roll7,0.0015091740060597658
upt_lag365,0.0014796509640291333
wt_bounce_rate_lag30,0.0014732885174453259
wt_page_views_roll30,0.0014642452588304877
payment_method_cancellation_risk_lag7,0.0014436709461733699
payment_method_cancellation_risk_roll30,0.0014414220349863172
daily_total_item_revenue_roll7,0.0014118616236373782
wt_sessions_roll30,0.001411404344253242
regional_revenue_concentration_index_roll7,0.0014003418618813157
category_encoded_lag30,0.0013993940083310008
wt_page_views_lag365,0.0013762761373072863
daily_expected_margin_mix_lag7,0.0013634742936119437
payment_method_cancellation_risk_lag30,0.0013568090507760644
daily_cod_order_ratio_lag30,0.0013454578584060073
high_intent_traffic_share_lag30,0.0013445904478430748
high_intent_traffic_share_lag365,0.001337095513008535
category_reason_weighted_return_risk_lag30,0.001314054592512548
category_reason_weighted_return_risk_lag365,0.0013028025859966874
daily_total_item_revenue_roll30,0.0012896718690171838
daily_stockout_rate_roll30,0.0012747952714562416
legacy_revenue_share_lag365,0.0012671946315094829
daily_total_cogs_lag7,0.001259368727914989
wt_avg_session_dur_lag30,0.0012530246749520302
daily_expected_margin_mix_lag30,0.0012489809887483716
daily_order_count_roll7,0.001245119608938694
daily_order_line_count_lag7,0.0012420809362083673
new_customer_aov_lag365,0.001241948688402772
daily_mobile_order_ratio_lag365,0.0012282301904633641
wt_sessions_lag7,0.0012259222567081451
size_mix_return_pressure_lag365,0.0012234848691150546
daily_stockout_rate_roll7,0.001213611802086234
daily_order_count_lag7,0.0012024834286421537
avg_delivery_days_roll7,0.0012023565359413624
daily_avg_fill_rate_lag7,0.0011949215549975634
wt_page_views_lag7,0.0011778910411521792
financing_intensity_index_lag365,0.0011769960401579738
daily_gross_revenue_before_discount_roll7,0.0011765132658183575
city_encoded_lag7,0.001170267816632986
high_intent_traffic_share_roll30,0.0011614739196375012
high_intent_traffic_share_roll7,0.001149850315414369
size_mix_return_pressure_lag7,0.0011490203905850649
payment_method_cancellation_risk_lag365,0.0011484194546937943
daily_mobile_order_ratio_lag30,0.0011340457713231444
legacy_order_ratio_lag7,0.0011335888411849737
legacy_order_ratio_lag365,0.001133561716414988
daily_stockout_rate_lag365,0.0011267663212493062
