Feature,Importance
promo_penetration_rate_roll7,203.0
days_until_holiday,202.0
daily_expected_margin_mix_roll30,195.0
daily_discount_depth_lag365,158.0
daily_discount_depth_roll7,147.0
daily_expected_margin_mix_roll7,137.0
day_of_year,130.0
daily_mobile_order_ratio_lag30,127.0
promo_penetration_rate_roll30,127.0
daily_mobile_order_ratio_roll30,126.0
financing_intensity_index_lag7,118.0
daily_mobile_order_ratio_lag7,108.0
daily_promo_order_count_roll7,107.0
financing_intensity_index_lag365,107.0
regional_revenue_concentration_index_roll7,102.0
daily_stockout_rate_lag30,100.0
wt_bounce_rate_roll7,100.0
upt_lag30,99.0
daily_expected_margin_mix_lag30,98.0
payment_method_cancellation_risk_lag7,97.0
avg_delivery_days_lag7,96.0
wt_bounce_rate_lag30,95.0
avg_delivery_days_lag30,95.0
daily_mobile_order_ratio_lag365,93.0
daily_stockout_rate_lag365,92.0
category_reason_weighted_return_risk_lag30,89.0
customer_repurchase_cadence_index_lag30,88.0
avg_delivery_days_roll7,87.0
city_encoded_lag365,86.0
financing_intensity_index_lag30,85.0
daily_avg_fill_rate_roll7,84.0
avg_delivery_days_roll30,84.0
high_intent_traffic_share_roll7,84.0
high_intent_traffic_share_lag30,84.0
daily_mobile_order_ratio_roll7,84.0
regional_revenue_concentration_index_roll30,84.0
financing_intensity_index_roll7,83.0
wt_avg_session_dur_lag30,83.0
daily_avg_fill_rate_lag7,83.0
daily_expected_margin_mix_lag7,83.0
wt_bounce_rate_lag7,82.0
wt_bounce_rate_roll30,82.0
daily_cod_order_ratio_roll30,82.0
daily_avg_fill_rate_lag30,79.0
category_reason_weighted_return_risk_lag365,78.0
daily_total_item_revenue_lag30,78.0
size_mix_return_pressure_lag365,77.0
daily_stockout_rate_lag7,77.0
wt_page_views_lag30,77.0
daily_avg_fill_rate_roll30,77.0
regional_revenue_concentration_index_lag365,76.0
upt_lag7,76.0
new_customer_aov_lag30,76.0
payment_method_cancellation_risk_lag30,75.0
daily_discount_amount_lag7,75.0
daily_return_risk_index_lag30,75.0
aov_lag30,74.0
wt_avg_session_dur_lag365,73.0
regional_revenue_concentration_index_lag30,73.0
daily_expected_margin_mix_lag365,72.0
financing_intensity_index_roll30,72.0
category_encoded_lag30,71.0
daily_cod_order_ratio_lag30,70.0
wt_page_views_lag7,70.0
regional_revenue_concentration_index_lag7,70.0
customer_repurchase_cadence_index_lag365,69.0
legacy_aov_lag365,69.0
daily_cod_order_ratio_roll7,69.0
daily_stockout_rate_roll30,68.0
daily_cod_order_ratio_lag365,68.0
category_reason_weighted_return_risk_lag7,68.0
daily_stockout_rate_roll7,67.0
legacy_aov_lag7,66.0
wt_avg_session_dur_lag7,66.0
aov_roll7,64.0
legacy_aov_lag30,64.0
daily_cod_order_ratio_lag7,63.0
daily_discount_amount_roll7,61.0
wt_bounce_rate_lag365,61.0
city_encoded_lag30,60.0
aov_lag365,60.0
wt_avg_session_dur_roll7,60.0
daily_promo_line_count_roll7,59.0
daily_discount_amount_lag365,59.0
payment_method_cancellation_risk_roll7,59.0
payment_method_cancellation_risk_lag365,59.0
daily_avg_fill_rate_lag365,58.0
week_of_year,58.0
wt_sessions_lag30,58.0
legacy_aov_roll7,58.0
high_intent_traffic_share_roll30,58.0
upt_lag365,57.0
daily_discount_depth_lag7,55.0
daily_discount_amount_roll30,55.0
avg_delivery_days_lag365,54.0
daily_promo_order_count_lag365,54.0
