Feature,Importance
daily_promo_order_count_roll7,0.04736889
daily_discount_depth_roll7,0.036094245
promo_penetration_rate_roll7,0.033605084
daily_discount_depth_lag365,0.016052715
daily_discount_amount_roll7,0.0152193755
days_until_holiday,0.0059520523
daily_promo_line_count_roll7,0.0055161705
aov_roll7,0.004521381
daily_expected_margin_mix_roll30,0.0041063298
daily_discount_depth_lag7,0.003451854
daily_discount_amount_lag7,0.0024159614
day_of_year,0.002055607
legacy_aov_roll7,0.0019243733
promo_penetration_rate_lag365,0.0018686613
promo_penetration_rate_roll30,0.001864022
city_encoded_lag365,0.0017169415
week_of_year,0.0016611284
covid_intensity_lag365,0.0016334644
daily_discount_amount_lag365,0.0012207777
daily_discount_depth_lag30,0.0009872972
covid_intensity_lag30,0.00083317695
daily_expected_margin_mix_roll7,0.000762292
daily_discount_amount_lag30,0.00068548863
daily_promo_line_count_lag7,0.00063995057
regional_revenue_concentration_index_roll7,0.0005809632
high_intent_traffic_share_roll7,0.00055650534
daily_expected_margin_mix_lag30,0.00050637894
daily_avg_fill_rate_roll30,0.0004996335
daily_order_line_count_lag30,0.00044748557
new_customer_aov_lag30,0.00044735667
active_customer_demographic_mix_score_lag30,0.00043857956
daily_mobile_order_ratio_roll30,0.00042958636
wt_unique_visitors_lag365,0.00042920042
upt_lag30,0.0003937846
customer_repurchase_cadence_index_lag365,0.00038198638
daily_promo_line_count_lag365,0.00036768717
category_encoded_roll30,0.00036744817
payment_method_cancellation_risk_lag7,0.00036528485
high_intent_traffic_share_roll30,0.00035247902
daily_cod_order_ratio_lag30,0.0003517693
avg_delivery_days_lag7,0.00035099348
daily_promo_order_count_lag365,0.00033897022
daily_total_cogs_roll30,0.00033015976
financing_intensity_index_lag365,0.0003252869
category_reason_weighted_return_risk_lag365,0.00032495765
wt_bounce_rate_lag30,0.0003237864
category_reason_weighted_return_risk_roll7,0.00031134873
legacy_aov_roll30,0.00030378537
aov_lag365,0.00029471685
customer_repurchase_cadence_index_lag30,0.00029104544
daily_discount_depth_roll30,0.00028977683
category_reason_weighted_return_risk_lag30,0.00028636758
wt_bounce_rate_roll7,0.00028463732
category_encoded_lag365,0.00028258606
daily_total_item_revenue_lag30,0.0002811272
regional_revenue_concentration_index_lag365,0.00027993467
daily_mobile_order_ratio_lag7,0.0002793901
daily_stockout_rate_lag30,0.00027930233
size_mix_return_pressure_lag365,0.00027410005
daily_avg_fill_rate_lag365,0.00026467882
daily_promo_line_count_roll30,0.0002550674
daily_promo_order_count_lag7,0.00025373133
wt_page_views_lag7,0.00025085808
daily_avg_fill_rate_lag7,0.00024313615
financing_intensity_index_roll30,0.00024206124
daily_order_line_count_lag365,0.00023790597
daily_promo_order_count_roll30,0.0002376247
new_customer_aov_roll30,0.00023432115
daily_gross_revenue_before_discount_lag365,0.00022259356
legacy_aov_lag365,0.00021987948
customer_repurchase_cadence_index_roll30,0.00021879308
wt_page_views_lag365,0.00021584888
size_mix_return_pressure_roll7,0.00021470469
wt_avg_session_dur_lag365,0.00021235416
size_mix_return_pressure_lag7,0.00021001021
daily_total_quantity_lag365,0.00020769158
upt_lag365,0.00020594122
wt_bounce_rate_lag7,0.0001984335
wt_sessions_lag7,0.00019601756
day_of_week,0.000192985
wt_bounce_rate_roll30,0.00019018275
daily_mobile_order_ratio_lag30,0.00018322893
daily_mobile_order_ratio_lag365,0.00018283448
daily_gross_revenue_before_discount_roll30,0.00018215946
avg_delivery_days_roll7,0.000181521
customer_repurchase_cadence_index_lag7,0.00017951819
promo_penetration_rate_lag7,0.00017747386
daily_total_cogs_lag30,0.00017734684
new_customer_aov_roll7,0.00017551323
aov_lag30,0.00017300581
high_intent_traffic_share_lag30,0.00017294678
daily_cod_order_ratio_lag365,0.00017239343
avg_delivery_days_roll30,0.00017214452
wt_avg_session_dur_roll7,0.00017116962
daily_stockout_rate_lag365,0.00017081156
payment_method_cancellation_risk_lag30,0.00017001198
wt_page_views_lag30,0.00016729918
daily_total_item_revenue_lag365,0.00016602903
avg_delivery_days_lag30,0.00016466137
regional_revenue_concentration_index_roll30,0.00016458078
high_intent_traffic_share_lag365,0.00016268685
daily_avg_fill_rate_lag30,0.00015781152
wt_unique_visitors_roll7,0.00015765005
daily_order_count_lag365,0.00015386696
category_reason_weighted_return_risk_lag7,0.00014972873
daily_order_count_lag30,0.00014962928
category_encoded_lag7,0.00014927387
financing_intensity_index_lag7,0.00014880682
category_encoded_roll7,0.00014872088
wt_page_views_roll7,0.00014808551
daily_return_risk_index_lag30,0.00014775172
category_encoded_lag30,0.00014443202
daily_cod_order_ratio_roll30,0.0001416769
wt_avg_session_dur_lag30,0.000141136
aov_roll30,0.00014038233
month,0.00014005387
daily_expected_margin_mix_lag7,0.00013968998
payment_method_cancellation_risk_roll30,0.00013514861
payment_method_cancellation_risk_lag365,0.00013455948
legacy_revenue_share_lag30,0.00013435501
daily_cod_order_ratio_roll7,0.00013381711
legacy_aov_lag7,0.00013175658
covid_intensity_roll30,0.00012896238
daily_avg_fill_rate_roll7,0.00012883343
daily_stockout_rate_roll7,0.00012723751
daily_stockout_rate_roll30,0.000126985
daily_cod_order_ratio_lag7,0.00012696585
size_mix_return_pressure_roll30,0.00012607308
financing_intensity_index_lag30,0.000122368
financing_intensity_index_roll7,0.0001208438
daily_mobile_order_ratio_roll7,0.000119497956
size_mix_return_pressure_lag30,0.00011738887
payment_method_cancellation_risk_roll7,0.000115825496
legacy_aov_lag30,0.00011352509
daily_stockout_rate_lag7,0.000112704896
regional_revenue_concentration_index_lag7,0.00011174998
customer_repurchase_cadence_index_roll7,0.000111523994
new_customer_aov_lag365,0.00010887846
avg_delivery_days_lag365,0.000108553926
daily_total_item_revenue_roll7,0.00010812505
city_encoded_roll7,0.00010505719
legacy_order_ratio_roll7,0.00010438318
upt_lag7,0.00010316218
daily_discount_amount_roll30,0.000102796934
daily_return_risk_index_lag7,0.0001011977
daily_gross_revenue_before_discount_lag30,9.924614e-05
regional_revenue_concentration_index_lag30,9.9174606e-05
daily_expected_margin_mix_lag365,9.801929e-05
wt_avg_session_dur_roll30,9.794734e-05
city_encoded_lag7,9.756571e-05
daily_return_risk_index_roll30,9.6028285e-05
city_encoded_roll30,9.544719e-05
daily_gross_revenue_before_discount_roll7,9.1216076e-05
legacy_order_ratio_roll30,8.837378e-05
city_encoded_lag30,8.783351e-05
legacy_revenue_share_lag365,8.227874e-05
aov_lag7,7.967092e-05
legacy_revenue_share_roll7,7.9331556e-05
daily_total_cogs_lag365,7.853967e-05
wt_unique_visitors_roll30,7.8348836e-05
new_customer_aov_lag7,7.775487e-05
covid_intensity,7.657457e-05
wt_unique_visitors_lag30,7.6026554e-05
category_reason_weighted_return_risk_roll30,7.563898e-05
daily_total_cogs_roll7,7.544826e-05
covid_intensity_roll7,7.437197e-05
wt_sessions_lag30,7.3482246e-05
legacy_order_ratio_lag30,7.3128e-05
wt_bounce_rate_lag365,7.028331e-05
covid_intensity_lag7,7.009319e-05
daily_total_quantity_lag30,6.678348e-05
upt_roll7,6.631283e-05
legacy_order_ratio_lag7,6.613883e-05
daily_promo_line_count_lag30,6.288806e-05
legacy_order_ratio_lag365,6.172385e-05
wt_avg_session_dur_lag7,6.16206e-05
upt_roll30,6.125343e-05
daily_total_item_revenue_roll30,6.092408e-05
wt_sessions_roll7,6.0742503e-05
active_customer_demographic_mix_score_roll7,6.043162e-05
wt_unique_visitors_lag7,5.823527e-05
daily_promo_order_count_lag30,5.714402e-05
wt_page_views_roll30,5.7091012e-05
daily_order_line_count_roll30,5.486942e-05
daily_total_item_revenue_lag7,5.236439e-05
active_customer_demographic_mix_score_lag7,5.1515297e-05
wt_sessions_roll30,4.9350743e-05
wt_sessions_lag365,4.9193284e-05
legacy_revenue_share_lag7,4.7907e-05
high_intent_traffic_share_lag7,4.7241192e-05
daily_total_cogs_lag7,4.6985566e-05
daily_order_line_count_roll7,4.6617308e-05
daily_return_risk_index_roll7,4.6263478e-05
daily_order_count_roll7,4.4868335e-05
daily_order_count_lag7,4.3518063e-05
daily_total_quantity_lag7,4.24245e-05
daily_return_risk_index_lag365,4.089848e-05
