Feature,Importance
daily_order_count_lag30,1751.75927734375
daily_order_line_count_lag30,1474.42626953125
covid_intensity_roll30,1450.550048828125
daily_order_count_roll7,1344.968994140625
covid_intensity_lag30,1316.0
city_encoded_lag30,1312.7154541015625
daily_total_quantity_lag30,1226.644775390625
daily_discount_depth_roll7,1202.86669921875
day_of_week,1197.0897216796875
promo_penetration_rate_roll7,1103.6097412109375
daily_total_item_revenue_lag365,1083.9627685546875
legacy_order_ratio_roll30,1070.10009765625
active_customer_demographic_mix_score_roll7,1035.9417724609375
day_of_year,986.9393920898438
active_customer_demographic_mix_score_roll30,977.9110107421875
legacy_revenue_share_roll30,969.5833129882812
days_until_holiday,957.17333984375
aov_lag365,943.4385986328125
daily_total_cogs_lag30,926.162841796875
daily_gross_revenue_before_discount_lag30,907.3333740234375
daily_promo_order_count_lag365,904.4666748046875
avg_delivery_days_lag365,902.4675903320312
new_customer_aov_lag365,895.0062866210938
daily_discount_depth_lag7,880.9556274414062
active_customer_demographic_mix_score_lag365,833.2200317382812
daily_gross_revenue_before_discount_lag365,832.0390625
promo_penetration_rate_lag365,830.375
month,824.63330078125
customer_repurchase_cadence_index_roll7,814.504638671875
daily_discount_amount_lag7,813.5908813476562
week_of_year,795.38330078125
daily_mobile_order_ratio_lag365,749.4324951171875
daily_return_risk_index_lag365,744.3333129882812
size_mix_return_pressure_roll30,716.2035522460938
size_mix_return_pressure_roll7,716.1690063476562
daily_discount_amount_lag365,715.9384765625
active_customer_demographic_mix_score_lag30,701.1699829101562
daily_avg_fill_rate_roll30,682.7750244140625
city_encoded_roll30,682.1900024414062
daily_total_cogs_roll7,677.5143432617188
daily_expected_margin_mix_roll30,671.0580444335938
new_customer_aov_roll30,662.156005859375
aov_roll7,660.6000366210938
daily_gross_revenue_before_discount_lag7,654.015869140625
daily_total_item_revenue_lag7,650.4544677734375
daily_total_cogs_lag7,623.546142578125
size_mix_return_pressure_lag7,622.3607177734375
daily_order_line_count_lag7,616.7576904296875
daily_total_item_revenue_roll7,596.2177734375
daily_expected_margin_mix_roll7,589.0117797851562
daily_order_count_lag365,572.303955078125
city_encoded_roll7,560.7454833984375
wt_sessions_roll7,543.3643188476562
legacy_revenue_share_roll7,541.8800048828125
daily_total_cogs_lag365,539.3372802734375
financing_intensity_index_roll30,537.8300170898438
new_customer_aov_roll7,535.4414672851562
financing_intensity_index_lag30,509.0420837402344
legacy_aov_lag30,504.87689208984375
legacy_order_ratio_lag30,493.5999450683594
daily_stockout_rate_lag365,484.94500732421875
daily_return_risk_index_lag30,472.4315490722656
wt_page_views_roll30,471.29998779296875
daily_promo_order_count_roll7,465.8900451660156
daily_total_quantity_roll7,458.8249206542969
daily_total_quantity_lag7,455.0014343261719
customer_repurchase_cadence_index_roll30,452.55181884765625
daily_stockout_rate_lag30,445.7970275878906
aov_lag30,445.2954406738281
aov_roll30,441.2666931152344
avg_delivery_days_roll30,438.3034362792969
daily_gross_revenue_before_discount_roll7,436.4428405761719
daily_total_item_revenue_lag30,435.2386474609375
daily_avg_fill_rate_lag30,433.047607421875
daily_order_line_count_lag365,432.87860107421875
daily_discount_amount_roll7,430.3588562011719
legacy_revenue_share_lag30,430.0285949707031
category_reason_weighted_return_risk_roll30,429.06927490234375
wt_bounce_rate_lag30,428.4666748046875
wt_page_views_roll7,409.8999938964844
wt_sessions_roll30,408.2222595214844
size_mix_return_pressure_lag365,405.7384948730469
regional_revenue_concentration_index_roll30,401.2483825683594
daily_promo_line_count_lag365,394.4000244140625
daily_total_quantity_lag365,394.0909118652344
avg_delivery_days_roll7,393.5224914550781
daily_promo_line_count_roll7,392.7428283691406
daily_cod_order_ratio_roll7,386.3384094238281
category_encoded_lag30,377.92333984375
legacy_aov_roll30,367.6333312988281
upt_roll7,366.3841857910156
legacy_revenue_share_lag365,365.0833740234375
daily_order_line_count_roll30,363.00750732421875
legacy_aov_lag365,362.4999694824219
size_mix_return_pressure_lag30,349.7703552246094
upt_lag365,347.1370544433594
