Feature,Importance
legacy_order_ratio_roll30,86002844565504.0
active_customer_demographic_mix_score_lag365,85659893104640.0
covid_intensity_lag30,71767250960384.0
active_customer_demographic_mix_score_roll7,67815352565760.0
legacy_revenue_share_roll30,55331254173696.0
wt_unique_visitors_roll30,49692746448896.0
daily_total_quantity_lag30,46858516824064.0
daily_order_count_lag30,45472551010304.0
promo_penetration_rate_lag365,44562621923328.0
daily_gross_revenue_before_discount_lag7,41563543568384.0
daily_promo_order_count_lag365,39800056840192.0
active_customer_demographic_mix_score_lag30,38857747726336.0
daily_total_item_revenue_lag365,36410039992320.0
size_mix_return_pressure_roll7,36124844097536.0
daily_expected_margin_mix_roll30,33526227402752.0
daily_promo_line_count_roll30,33379923787776.0
covid_intensity_roll30,32471905206272.0
wt_sessions_roll30,31087615016960.0
daily_order_line_count_lag7,30925161234432.0
aov_lag365,30583298195456.0
promo_penetration_rate_roll7,30472669233152.0
promo_penetration_rate_roll30,30421551153152.0
active_customer_demographic_mix_score_lag7,29782200811520.0
daily_order_count_lag365,27952416817152.0
daily_order_line_count_lag30,27778871197696.0
daily_total_quantity_lag7,27030120824832.0
legacy_aov_lag365,26945567850496.0
days_until_holiday,26263286710272.0
daily_promo_line_count_roll7,25951981273088.0
daily_discount_depth_roll7,25804989792256.0
size_mix_return_pressure_roll30,25648674373632.0
daily_total_cogs_lag7,25122752692224.0
daily_gross_revenue_before_discount_lag30,24901675122688.0
daily_gross_revenue_before_discount_lag365,24838651510784.0
daily_discount_amount_roll7,24788990951424.0
new_customer_aov_roll7,23962926972928.0
daily_gross_revenue_before_discount_roll7,23897684574208.0
daily_order_line_count_lag365,23118548566016.0
city_encoded_roll30,22978452520960.0
daily_order_count_lag7,21788522184704.0
daily_return_risk_index_lag365,21489579458560.0
daily_total_item_revenue_roll7,21484124766208.0
day_of_week,21236518223872.0
daily_total_quantity_roll30,21072655155200.0
daily_promo_line_count_lag365,20817666637824.0
category_reason_weighted_return_risk_roll30,20596477919232.0
daily_total_quantity_lag365,20531992592384.0
daily_total_item_revenue_lag7,20459980587008.0
aov_roll7,20291514269696.0
city_encoded_lag30,20077428604928.0
active_customer_demographic_mix_score_roll30,20012102320128.0
customer_repurchase_cadence_index_roll30,19265499430912.0
category_encoded_lag30,18693144707072.0
daily_discount_amount_lag7,18664055111680.0
daily_order_count_roll7,18616867094528.0
daily_total_item_revenue_lag30,18529650737152.0
daily_total_cogs_lag30,18521794805760.0
wt_sessions_lag30,18388262846464.0
daily_promo_order_count_roll7,17980868001792.0
daily_total_cogs_lag365,17829411684352.0
daily_order_line_count_roll30,17662581145600.0
size_mix_return_pressure_lag365,17357480132608.0
high_intent_traffic_share_roll30,17259122655232.0
customer_repurchase_cadence_index_roll7,16779750408192.0
day_of_year,16475517616128.0
week_of_year,16439193894912.0
daily_gross_revenue_before_discount_roll30,16350784258048.0
daily_order_count_roll30,15820934610944.0
new_customer_aov_roll30,15703767777280.0
legacy_order_ratio_lag30,15504443965440.0
wt_page_views_lag30,15197705076736.0
daily_discount_depth_lag7,15051205378048.0
category_encoded_roll7,14922736992256.0
daily_expected_margin_mix_roll7,14732221218816.0
legacy_revenue_share_lag30,14369946599424.0
new_customer_aov_lag365,14261968437248.0
wt_sessions_lag7,14150268878848.0
promo_penetration_rate_lag30,14142807212032.0
aov_lag30,13936901488640.0
daily_discount_depth_roll30,13675839619072.0
daily_avg_fill_rate_roll30,13209824133120.0
legacy_order_ratio_roll7,13017965133824.0
daily_order_line_count_roll7,12825847136256.0
wt_unique_visitors_lag365,12743056818176.0
daily_total_quantity_roll7,12556225740800.0
wt_avg_session_dur_roll30,12513423917056.0
daily_total_cogs_roll7,12510863294464.0
daily_stockout_rate_lag365,12341864300544.0
category_reason_weighted_return_risk_lag30,12330624614400.0
wt_page_views_roll7,12268444057600.0
legacy_aov_roll7,11976397815808.0
daily_discount_amount_roll30,11954267619328.0
daily_stockout_rate_roll30,11932997255168.0
legacy_aov_lag30,11911125008384.0
daily_return_risk_index_lag30,11824938352640.0
size_mix_return_pressure_lag30,11659139612672.0
daily_promo_line_count_lag30,11567851634688.0
upt_roll30,11533771866112.0
category_encoded_lag365,11420979691520.0
daily_total_item_revenue_roll30,11393800601600.0
legacy_order_ratio_lag7,11289931808768.0
city_encoded_lag365,11253052342272.0
regional_revenue_concentration_index_lag365,11121823055872.0
daily_discount_amount_lag30,10929031872512.0
daily_promo_order_count_lag30,10871951589376.0
aov_lag7,10717046505472.0
daily_total_cogs_roll30,10704960618496.0
daily_stockout_rate_roll7,10639212806144.0
wt_unique_visitors_lag30,10598623477760.0
category_encoded_roll30,10504823111680.0
regional_revenue_concentration_index_roll30,10487955718144.0
wt_avg_session_dur_lag365,10480552771584.0
daily_stockout_rate_lag30,10472025751552.0
avg_delivery_days_lag365,10458427817984.0
city_encoded_lag7,10456627412992.0
financing_intensity_index_roll7,10419251970048.0
financing_intensity_index_roll30,10418019893248.0
daily_discount_depth_lag365,10365127622656.0
aov_roll30,10297391710208.0
legacy_revenue_share_lag365,10258131976192.0
daily_mobile_order_ratio_lag365,10157575634944.0
legacy_aov_lag7,10123535712256.0
wt_sessions_roll7,10092361547776.0
new_customer_aov_lag7,9947908669440.0
avg_delivery_days_roll30,9923539763200.0
customer_repurchase_cadence_index_lag365,9913145229312.0
size_mix_return_pressure_lag7,9874520932352.0
daily_return_risk_index_roll7,9866889396224.0
payment_method_cancellation_risk_roll7,9793148289024.0
high_intent_traffic_share_lag7,9755613462528.0
daily_mobile_order_ratio_lag7,9590622126080.0
daily_expected_margin_mix_lag365,9509167693824.0
market_era_roll30,9496101388288.0
covid_intensity,9421480525824.0
category_reason_weighted_return_risk_roll7,9322717249536.0
wt_bounce_rate_roll7,9315498852352.0
wt_avg_session_dur_roll7,9301700640768.0
daily_stockout_rate_lag7,9293306789888.0
wt_bounce_rate_lag30,9281971683328.0
daily_promo_line_count_lag7,9223302807552.0
high_intent_traffic_share_roll7,9144686870528.0
daily_cod_order_ratio_lag365,9114570719232.0
daily_expected_margin_mix_lag30,9111577034752.0
daily_mobile_order_ratio_roll30,9077770944512.0
category_reason_weighted_return_risk_lag7,9023781863424.0
upt_lag365,8907599642624.0
legacy_revenue_share_lag7,8882692816896.0
wt_unique_visitors_roll7,8879661383680.0
daily_promo_order_count_lag7,8876031213568.0
avg_delivery_days_roll7,8810110386176.0
wt_bounce_rate_roll30,8768733052928.0
daily_mobile_order_ratio_lag30,8729335955456.0
daily_avg_fill_rate_roll7,8671232262144.0
month,8563188039680.0
upt_roll7,8542774886400.0
legacy_revenue_share_roll7,8434851250176.0
daily_return_risk_index_roll30,8373276246016.0
wt_page_views_roll30,8188736831488.0
regional_revenue_concentration_index_roll7,8107040702464.0
wt_page_views_lag365,8102638780416.0
daily_cod_order_ratio_roll30,8099560161280.0
category_reason_weighted_return_risk_lag365,7987873710080.0
wt_sessions_lag365,7967041650688.0
payment_method_cancellation_risk_lag30,7888222814208.0
legacy_aov_roll30,7795392380928.0
high_intent_traffic_share_lag365,7773617651712.0
daily_discount_amount_lag365,7750682673152.0
promo_penetration_rate_lag7,7630581399552.0
category_encoded_lag7,7542603251712.0
daily_avg_fill_rate_lag365,7533226360832.0
