Feature,Importance
days_until_holiday,151.0
day_of_week,131.0
daily_total_item_revenue_lag365,116.0
daily_gross_revenue_before_discount_lag365,110.0
daily_total_item_revenue_lag7,77.0
daily_total_item_revenue_roll7,73.0
daily_total_quantity_lag7,70.0
day_of_year,66.0
aov_lag365,65.0
daily_total_cogs_lag365,59.0
new_customer_aov_roll7,53.0
daily_total_cogs_lag30,51.0
daily_total_cogs_roll7,49.0
regional_revenue_concentration_index_roll7,48.0
daily_order_line_count_roll7,47.0
new_customer_aov_lag365,47.0
daily_order_line_count_lag7,45.0
daily_total_item_revenue_lag30,44.0
daily_stockout_rate_roll7,44.0
daily_stockout_rate_roll30,43.0
daily_expected_margin_mix_roll30,43.0
daily_order_line_count_lag30,42.0
daily_return_risk_index_lag365,42.0
daily_gross_revenue_before_discount_roll7,42.0
financing_intensity_index_roll30,40.0
avg_delivery_days_roll7,40.0
daily_order_line_count_roll30,40.0
legacy_aov_lag365,39.0
daily_total_cogs_lag7,39.0
size_mix_return_pressure_lag365,39.0
daily_gross_revenue_before_discount_lag7,38.0
daily_total_quantity_lag30,38.0
financing_intensity_index_roll7,38.0
daily_order_count_lag7,38.0
daily_order_count_lag30,37.0
daily_mobile_order_ratio_lag365,37.0
daily_total_quantity_roll7,36.0
daily_stockout_rate_lag30,34.0
avg_delivery_days_lag365,34.0
upt_lag30,33.0
wt_bounce_rate_roll7,33.0
daily_cod_order_ratio_lag365,31.0
promo_penetration_rate_roll7,31.0
regional_revenue_concentration_index_roll30,31.0
category_encoded_lag30,30.0
daily_gross_revenue_before_discount_lag30,30.0
wt_bounce_rate_roll30,30.0
size_mix_return_pressure_roll7,29.0
daily_mobile_order_ratio_roll30,29.0
daily_cod_order_ratio_roll30,29.0
avg_delivery_days_roll30,29.0
size_mix_return_pressure_roll30,29.0
wt_avg_session_dur_lag30,29.0
daily_order_count_roll7,29.0
daily_return_risk_index_roll7,28.0
regional_revenue_concentration_index_lag365,28.0
daily_avg_fill_rate_roll30,28.0
daily_order_line_count_lag365,28.0
category_encoded_lag365,28.0
size_mix_return_pressure_lag7,28.0
wt_bounce_rate_lag30,27.0
daily_promo_line_count_roll30,27.0
category_reason_weighted_return_risk_lag30,27.0
size_mix_return_pressure_lag30,27.0
upt_lag365,27.0
customer_repurchase_cadence_index_roll30,27.0
new_customer_aov_lag7,26.0
wt_avg_session_dur_lag365,26.0
city_encoded_lag30,26.0
daily_cod_order_ratio_roll7,26.0
legacy_aov_lag30,26.0
category_reason_weighted_return_risk_roll30,26.0
avg_delivery_days_lag7,26.0
daily_mobile_order_ratio_lag30,25.0
daily_avg_fill_rate_lag365,25.0
new_customer_aov_roll30,25.0
daily_order_count_lag365,25.0
wt_avg_session_dur_lag7,24.0
legacy_aov_roll7,23.0
aov_roll7,23.0
daily_total_cogs_roll30,23.0
daily_total_quantity_lag365,22.0
payment_method_cancellation_risk_lag7,22.0
