Feature,Importance
daily_total_item_revenue_lag365,183012.425
daily_gross_revenue_before_discount_lag365,151585.71875
day_of_week,140318.21875
aov_lag365,89181.4640625
days_until_holiday,86182.771875
day_of_year,78485.65625
daily_expected_margin_mix_roll30,72836.2125
size_mix_return_pressure_roll7,71844.4203125
promo_penetration_rate_roll7,61500.5390625
new_customer_aov_roll7,46128.86640625
size_mix_return_pressure_lag365,42684.33828125
size_mix_return_pressure_roll30,40017.85234375
new_customer_aov_lag365,39843.20859375
daily_total_item_revenue_roll7,38481.996875
daily_return_risk_index_lag365,37575.29921875
daily_total_cogs_lag365,37360.99453125
customer_repurchase_cadence_index_roll7,31623.133984375
active_customer_demographic_mix_score_lag30,31298.73046875
daily_discount_depth_roll7,27703.580859375
daily_gross_revenue_before_discount_lag7,25175.97890625
new_customer_aov_roll30,22816.9
daily_total_item_revenue_lag7,22716.959765625
daily_mobile_order_ratio_lag365,21905.673828125
daily_total_cogs_lag30,21892.439453125
avg_delivery_days_lag365,20270.075
aov_roll7,19745.768359375
financing_intensity_index_roll30,19570.877734375
week_of_year,19443.88203125
avg_delivery_days_roll7,19104.79765625
daily_order_count_lag365,17791.841796875
daily_total_cogs_lag7,16619.59921875
daily_promo_line_count_roll30,16050.599609375
category_encoded_lag365,16011.1140625
daily_expected_margin_mix_roll7,15682.1294921875
daily_promo_order_count_lag365,15544.958203125
upt_lag365,15470.148046875
daily_promo_line_count_roll7,14516.9234375
daily_discount_amount_roll7,14342.5330078125
daily_stockout_rate_lag365,14223.558203125
active_customer_demographic_mix_score_lag7,14087.884765625
wt_sessions_roll30,14061.825390625
regional_revenue_concentration_index_roll7,13469.9380859375
daily_order_line_count_lag365,13465.2615234375
category_encoded_lag30,13305.167578125
daily_gross_revenue_before_discount_lag30,12690.9640625
promo_penetration_rate_roll30,12461.6029296875
daily_gross_revenue_before_discount_roll7,12191.834375
legacy_aov_lag365,12113.83125
daily_discount_depth_lag7,11989.2369140625
daily_total_quantity_lag365,11665.5521484375
customer_repurchase_cadence_index_lag365,11399.29296875
customer_repurchase_cadence_index_roll30,10839.9783203125
legacy_order_ratio_lag30,10834.04375
aov_lag30,10231.666015625
daily_return_risk_index_roll7,10139.4056640625
daily_discount_amount_lag7,10077.5583984375
legacy_aov_lag30,10000.145703125
daily_promo_order_count_roll7,9909.39921875
avg_delivery_days_roll30,9902.315625
upt_roll7,9549.0337890625
daily_discount_amount_lag365,9522.0119140625
daily_total_cogs_roll7,9431.519140625
aov_roll30,9011.1759765625
daily_order_count_lag30,8730.1669921875
covid_intensity_roll30,8641.8314453125
daily_order_line_count_lag30,8574.60234375
wt_sessions_roll7,8451.27724609375
wt_sessions_lag30,8294.9265625
wt_page_views_roll7,8266.2947265625
daily_stockout_rate_roll30,8238.0193359375
daily_total_item_revenue_lag30,8129.252734375
regional_revenue_concentration_index_roll30,8116.06044921875
