Feature,Importance
daily_total_item_revenue_lag365,141256.55
day_of_week,111643.52
daily_gross_revenue_before_discount_lag365,99673.875
aov_lag365,87816.13
daily_expected_margin_mix_roll30,60432.086
days_until_holiday,58932.934
day_of_year,55393.4
promo_penetration_rate_roll7,53137.43
size_mix_return_pressure_roll7,51679.668
new_customer_aov_roll7,47647.52
daily_total_item_revenue_roll7,37871.4
active_customer_demographic_mix_score_roll7,36243.18
daily_return_risk_index_lag365,34961.695
legacy_order_ratio_roll30,33073.004
new_customer_aov_lag365,32818.29
daily_total_item_revenue_lag7,32298.299
size_mix_return_pressure_roll30,29829.957
size_mix_return_pressure_lag365,27305.043
daily_total_cogs_lag30,27088.787
daily_order_count_lag30,26315.13
daily_gross_revenue_before_discount_lag7,25397.238
daily_order_line_count_lag30,24975.158
daily_total_cogs_lag365,24625.861
customer_repurchase_cadence_index_roll7,22796.3
active_customer_demographic_mix_score_lag365,21515.748
legacy_revenue_share_roll30,20369.477
daily_gross_revenue_before_discount_roll7,19852.268
daily_total_quantity_lag30,18845.416
city_encoded_lag30,17480.129
daily_gross_revenue_before_discount_lag30,17372.725
category_encoded_lag30,17215.352
avg_delivery_days_lag365,16966.43
legacy_aov_lag365,16914.342
new_customer_aov_roll30,16648.436
daily_promo_order_count_lag365,16515.135
active_customer_demographic_mix_score_lag30,15421.19
daily_mobile_order_ratio_lag365,14613.741
avg_delivery_days_roll7,14227.785
financing_intensity_index_roll30,13924.381
daily_total_cogs_lag7,13547.34
aov_roll7,13120.253
daily_promo_line_count_roll7,12447.284
daily_promo_line_count_roll30,11957.687
regional_revenue_concentration_index_roll7,11627.762
daily_expected_margin_mix_roll7,11515.857
legacy_aov_lag30,11475.318
daily_discount_depth_lag7,11369.28
daily_discount_depth_roll7,11262.738
daily_stockout_rate_lag365,10925.572
daily_order_count_lag365,10781.043
category_encoded_lag365,10330.852
upt_lag365,10110.72
wt_sessions_roll30,9884.375
active_customer_demographic_mix_score_lag7,9576.711
aov_lag30,8414.809
regional_revenue_concentration_index_roll30,8351.424
daily_total_cogs_roll7,8312.811
customer_repurchase_cadence_index_lag365,8240.37
daily_order_line_count_roll30,8224.945
week_of_year,8006.905
upt_roll7,7720.183
customer_repurchase_cadence_index_roll30,7706.6074
daily_total_item_revenue_lag30,7616.823
daily_promo_order_count_roll7,7576.495
daily_discount_amount_lag7,7565.5547
daily_total_quantity_lag7,7467.381
legacy_order_ratio_lag30,7304.17
covid_intensity_roll30,7113.2207
promo_penetration_rate_roll30,6768.698
payment_method_cancellation_risk_roll7,6495.68
daily_discount_amount_roll7,6427.489
daily_discount_amount_lag365,6381.3105
wt_sessions_lag30,6345.224
promo_penetration_rate_lag365,6117.907
daily_total_quantity_lag365,6117.8667
daily_order_count_lag7,5926.179
daily_stockout_rate_lag30,5857.0913
aov_roll30,5832.278
avg_delivery_days_roll30,5606.3
daily_stockout_rate_roll7,5606.0864
city_encoded_roll30,5579.321
daily_order_line_count_lag365,5569.1694
category_reason_weighted_return_risk_roll30,5562.092
wt_sessions_roll7,5282.737
wt_page_views_roll7,5243.564
daily_cod_order_ratio_roll7,5092.3145
daily_mobile_order_ratio_roll30,4793.86
daily_order_count_roll30,4783.996
covid_intensity_lag30,4718.6694
daily_return_risk_index_roll7,4644.243
daily_total_quantity_roll30,4585.652
size_mix_return_pressure_lag7,4561.481
daily_cod_order_ratio_lag365,4484.6562
daily_stockout_rate_roll30,4398.132
regional_revenue_concentration_index_lag365,4247.1934
daily_order_line_count_lag7,4228.293
new_customer_aov_lag7,4203.948
legacy_order_ratio_roll7,4146.3643
wt_bounce_rate_lag30,4088.586
daily_avg_fill_rate_roll30,4064.3977
daily_expected_margin_mix_lag30,4053.8547
legacy_aov_roll7,3973.4233
financing_intensity_index_lag30,3967.4048
daily_stockout_rate_lag7,3796.439
active_customer_demographic_mix_score_roll30,3769.5444
daily_return_risk_index_lag30,3742.1138
upt_roll30,3656.478
daily_avg_fill_rate_lag30,3651.576
category_reason_weighted_return_risk_lag30,3649.3467
daily_promo_line_count_lag365,3623.1287
financing_intensity_index_roll7,3591.7717
wt_page_views_lag30,3564.5186
wt_unique_visitors_lag30,3513.8286
daily_mobile_order_ratio_lag30,3505.0576
daily_avg_fill_rate_lag7,3442.385
daily_mobile_order_ratio_roll7,3428.07
daily_discount_amount_lag30,3350.7512
daily_cod_order_ratio_roll30,3339.868
daily_order_count_roll7,3308.176
wt_unique_visitors_lag365,3305.4297
daily_order_line_count_roll7,3285.418
financing_intensity_index_lag365,3147.6658
city_encoded_lag365,3142.3167
daily_total_cogs_roll30,3123.8284
regional_revenue_concentration_index_lag7,3111.498
daily_avg_fill_rate_roll7,3097.9817
category_encoded_roll7,3086.7346
aov_lag7,3080.2124
daily_mobile_order_ratio_lag7,3048.0786
wt_bounce_rate_roll7,3041.9656
legacy_revenue_share_lag365,3026.178
daily_total_quantity_roll7,3017.2747
upt_lag7,2860.8008
wt_avg_session_dur_lag30,2794.5974
legacy_revenue_share_lag30,2758.9673
wt_bounce_rate_roll30,2738.7185
month,2707.5789
wt_avg_session_dur_lag7,2703.7192
high_intent_traffic_share_roll30,2661.2744
daily_promo_line_count_lag30,2623.728
daily_expected_margin_mix_lag365,2613.2324
category_encoded_roll30,2586.6426
legacy_aov_lag7,2534.8884
wt_page_views_lag7,2496.9604
wt_bounce_rate_lag7,2485.1555
daily_total_item_revenue_roll30,2349.6829
wt_avg_session_dur_roll7,2338.059
daily_discount_depth_roll30,2251.2712
daily_gross_revenue_before_discount_roll30,2236.3254
wt_page_views_lag365,2220.6072
wt_page_views_roll30,2174.3948
new_customer_aov_lag30,2147.0098
category_reason_weighted_return_risk_roll7,2100.2756
regional_revenue_concentration_index_lag30,2100.0837
size_mix_return_pressure_lag30,2019.1661
payment_method_cancellation_risk_lag7,1906.6367
daily_cod_order_ratio_lag7,1903.4803
wt_bounce_rate_lag365,1886.897
upt_lag30,1840.4015
avg_delivery_days_lag7,1835.46
wt_avg_session_dur_lag365,1805.1062
category_reason_weighted_return_risk_lag7,1786.512
wt_sessions_lag365,1757.0306
wt_unique_visitors_roll7,1742.4037
wt_unique_visitors_roll30,1643.7878
legacy_revenue_share_roll7,1589.334
market_era_roll30,1566.966
high_intent_traffic_share_roll7,1564.6251
city_encoded_roll7,1512.1141
city_encoded_lag7,1477.6014
category_encoded_lag7,1451.7637
daily_discount_amount_roll30,1392.6451
category_reason_weighted_return_risk_lag365,1355.553
daily_avg_fill_rate_lag365,1349.5148
avg_delivery_days_lag30,1343.1749
wt_avg_session_dur_roll30,1317.502
daily_promo_order_count_roll30,1308.0254
payment_method_cancellation_risk_lag365,1250.4365
customer_repurchase_cadence_index_lag30,1201.584
daily_promo_order_count_lag7,1186.0769
high_intent_traffic_share_lag365,1149.0709
daily_expected_margin_mix_lag7,1099.306
high_intent_traffic_share_lag30,1056.8444
financing_intensity_index_lag7,1009.7001
legacy_order_ratio_lag7,1005.5848
payment_method_cancellation_risk_roll30,922.80914
daily_cod_order_ratio_lag30,899.4131
customer_repurchase_cadence_index_lag7,879.10675
legacy_revenue_share_lag7,866.26117
daily_promo_order_count_lag30,835.9539
covid_intensity,813.69476
wt_unique_visitors_lag7,810.1525
payment_method_cancellation_risk_lag30,759.3555
legacy_order_ratio_lag365,746.4001
daily_return_risk_index_roll30,720.8613
legacy_aov_roll30,707.0983
daily_promo_line_count_lag7,685.54376
daily_discount_depth_lag365,680.0396
high_intent_traffic_share_lag7,656.71606
daily_discount_depth_lag30,593.6473
daily_return_risk_index_lag7,583.10535
promo_penetration_rate_lag30,539.64136
wt_sessions_lag7,410.9715
promo_penetration_rate_lag7,216.51315
covid_intensity_lag365,0.0
covid_intensity_lag7,0.0
market_era_lag365,0.0
market_era_roll7,0.0
market_era_lag30,0.0
market_era_lag7,0.0
covid_intensity_roll7,0.0
year,0.0
