Feature,Gain,Weight,Cover,XGBContribution,Permutation,Target,CompositeImportance,BusinessMeaning
daily_promo_order_count_roll7,1.1925468444824219,107.0,1849.541015625,0.04736889,0.06384224593639373,COGS_Ratio,0.9054187192118228,nhu cầu lịch sử và tính mùa vụ
daily_total_item_revenue_lag365,36410039992320.0,116.0,1083.9627685546875,141256.55,183012.425,Revenue_Residual,0.7620711412246093,nhu cầu lịch sử và tính mùa vụ
daily_discount_depth_roll7,1.0549134016036987,147.0,799.261962890625,0.036094245,0.05673665776848793,COGS_Ratio,0.7383100307177123,nhu cầu lịch sử và tính mùa vụ
promo_penetration_rate_roll7,0.424021452665329,203.0,1206.046142578125,0.033605084,0.04926701337099075,COGS_Ratio,0.6977542116851823,nhu cầu lịch sử và tính mùa vụ
day_of_week,21236518223872.0,131.0,1197.0897216796875,111643.52,140318.21875,Revenue_Residual,0.670983236388374,"hiệu ứng lịch, mùa vụ ngắn hạn và ngày đặc biệt"
daily_gross_revenue_before_discount_lag365,24838651510784.0,110.0,832.0390625,99673.875,151585.71875,Revenue_Residual,0.6052332506964004,nhu cầu lịch sử và tính mùa vụ
days_until_holiday,26263286710272.0,151.0,957.17333984375,58932.934,86182.771875,Revenue_Residual,0.5479801912381828,"hiệu ứng lịch, mùa vụ ngắn hạn và ngày đặc biệt"
aov_lag365,30583298195456.0,65.0,943.4385986328125,87816.13,89181.4640625,Revenue_Residual,0.4867227042843374,nhu cầu lịch sử và tính mùa vụ
daily_discount_amount_roll7,1.06219482421875,61.0,759.90966796875,0.0152193755,0.024282491579651833,COGS_Ratio,0.4607394278466397,nhu cầu lịch sử và tính mùa vụ
daily_discount_depth_lag365,0.3403840959072113,158.0,988.3157348632812,0.016052715,0.021620885655283927,COGS_Ratio,0.4551314027839991,nhu cầu lịch sử và tính mùa vụ
day_of_year,16475517616128.0,66.0,986.9393920898438,55393.4,78485.65625,Revenue_Residual,0.4026112510110599,"hiệu ứng lịch, mùa vụ ngắn hạn và ngày đặc biệt"
daily_order_count_lag30,45472551010304.0,37.0,1751.75927734375,26315.13,8730.1669921875,Revenue_Residual,0.401552395751851,nhu cầu lịch sử và tính mùa vụ
days_until_holiday,0.028011461719870567,202.0,1248.4168701171875,0.0059520523,0.007890921458601952,COGS_Ratio,0.3885607123439404,"hiệu ứng lịch, mùa vụ ngắn hạn và ngày đặc biệt"
promo_penetration_rate_roll7,30472669233152.0,31.0,1103.6097412109375,53137.43,61500.5390625,Revenue_Residual,0.3803685803790996,nhu cầu lịch sử và tính mùa vụ
legacy_order_ratio_roll30,86002844565504.0,8.0,1070.10009765625,33073.004,0.0,Revenue_Residual,0.3795972187969864,nhu cầu lịch sử và tính mùa vụ
daily_expected_margin_mix_roll30,33526227402752.0,43.0,671.0580444335938,60432.086,72836.2125,Revenue_Residual,0.37669496256553453,nhu cầu lịch sử và tính mùa vụ
size_mix_return_pressure_roll7,36124844097536.0,29.0,716.1690063476562,51679.668,71844.4203125,Revenue_Residual,0.3558692906629556,nhu cầu lịch sử và tính mùa vụ
active_customer_demographic_mix_score_roll7,67815352565760.0,12.0,1035.9417724609375,36243.18,2979.1201171875,Revenue_Residual,0.3464444346053096,nhu cầu lịch sử và tính mùa vụ
active_customer_demographic_mix_score_lag365,85659893104640.0,5.0,833.2200317382812,21515.748,4014.90361328125,Revenue_Residual,0.3358054336790313,nhu cầu lịch sử và tính mùa vụ
daily_order_line_count_lag30,27778871197696.0,42.0,1474.42626953125,24975.158,8574.60234375,Revenue_Residual,0.33329759072939696,nhu cầu lịch sử và tính mùa vụ
daily_total_quantity_lag30,46858516824064.0,38.0,1226.644775390625,18845.416,5303.6486328125,Revenue_Residual,0.331826482731955,nhu cầu lịch sử và tính mùa vụ
covid_intensity_lag30,71767250960384.0,1.0,1316.0,4718.6694,5014.5904296875,Revenue_Residual,0.33062956805651533,nhu cầu lịch sử và tính mùa vụ
daily_total_item_revenue_roll7,21484124766208.0,73.0,596.2177734375,37871.4,38481.996875,Revenue_Residual,0.31039561624326134,nhu cầu lịch sử và tính mùa vụ
new_customer_aov_roll7,23962926972928.0,53.0,535.4414672851562,47647.52,46128.86640625,Revenue_Residual,0.30492944770320063,nhu cầu lịch sử và tính mùa vụ
daily_expected_margin_mix_roll30,0.008256050758063793,195.0,635.1702270507812,0.0041063298,0.005352227948606014,COGS_Ratio,0.2962916333873879,nhu cầu lịch sử và tính mùa vụ
daily_total_item_revenue_lag7,20459980587008.0,77.0,650.4544677734375,32298.299,22716.959765625,Revenue_Residual,0.29438510687668296,nhu cầu lịch sử và tính mùa vụ
new_customer_aov_lag365,14261968437248.0,47.0,895.0062866210938,32818.29,39843.20859375,Revenue_Residual,0.2876093877957294,nhu cầu lịch sử và tính mùa vụ
legacy_revenue_share_roll30,55331254173696.0,12.0,969.5833129882812,20369.477,1820.119287109375,Revenue_Residual,0.28609482053204954,nhu cầu lịch sử và tính mùa vụ
