Feature,missing_rate,nunique,abs_corr_to_revenue,base_feature,suffix,CompositeImportance
daily_promo_order_count_roll7,0.00026089225150013044,1231,0.07876927749157421,daily_promo_order_count,roll7,0.9054187192118228
daily_total_item_revenue_lag365,0.09522567179754761,3469,0.7826651834101721,daily_total_item_revenue,lag365,0.7620711412246093
daily_discount_depth_roll7,0.00026089225150013044,1971,0.1508704451920078,daily_discount_depth,roll7,0.7383100307177123
promo_penetration_rate_roll7,0.00026089225150013044,1117,0.13618340436194803,promo_penetration_rate,roll7,0.6977542116851823
day_of_week,0.0,7,0.06703433766034037,day_of_week,calendar_or_static,0.670983236388374
daily_gross_revenue_before_discount_lag365,0.09522567179754761,3469,0.7849887938886866,daily_gross_revenue_before_discount,lag365,0.6052332506964004
days_until_holiday,0.0,124,0.04681252540107435,days_until_holiday,calendar_or_static,0.5479801912381828
aov_lag365,0.09522567179754761,3469,0.1108289099075033,aov,lag365,0.4867227042843374
daily_discount_amount_roll7,0.00026089225150013044,1967,0.06779027416711045,daily_discount_amount,roll7,0.4607394278466397
daily_discount_depth_lag365,0.09522567179754761,1564,0.12327588499299992,daily_discount_depth,lag365,0.4551314027839991
day_of_year,0.0,366,0.184198197222989,day_of_year,calendar_or_static,0.4026112510110599
daily_order_count_lag30,0.007826767545003914,500,0.6327548220319705,daily_order_count,lag30,0.401552395751851
legacy_order_ratio_roll30,0.00026089225150013044,3784,0.32790818542980016,legacy_order_ratio,roll30,0.3795972187969864
daily_expected_margin_mix_roll30,0.00026089225150013044,3833,0.130080991055099,daily_expected_margin_mix,roll30,0.3766949625655345
size_mix_return_pressure_roll7,0.00026089225150013044,3833,0.11281758314889505,size_mix_return_pressure,roll7,0.3558692906629556
active_customer_demographic_mix_score_roll7,0.00026089225150013044,3833,0.2599163580805887,active_customer_demographic_mix_score,roll7,0.3464444346053096
active_customer_demographic_mix_score_lag365,0.09522567179754761,3469,0.3111902204931892,active_customer_demographic_mix_score,lag365,0.3358054336790313
daily_order_line_count_lag30,0.007826767545003914,545,0.6189769940517069,daily_order_line_count,lag30,0.3332975907293969
daily_total_quantity_lag30,0.007826767545003914,1535,0.618326418935312,daily_total_quantity,lag30,0.331826482731955
covid_intensity_lag30,0.007826767545003914,884,0.25211260526310764,covid_intensity,lag30,0.3306295680565153
daily_total_item_revenue_roll7,0.00026089225150013044,3833,0.6958630405948327,daily_total_item_revenue,roll7,0.3103956162432613
new_customer_aov_roll7,0.00026089225150013044,3781,0.0059945915127992445,new_customer_aov,roll7,0.3049294477032006
