feature_a,feature_b,abs_corr,base_a,base_b
daily_order_line_count_roll30,daily_total_quantity_roll30,0.9998869070116564,daily_order_line_count,daily_total_quantity
active_customer_demographic_mix_score_roll7,active_customer_demographic_mix_score_roll30,0.9998384125066154,active_customer_demographic_mix_score,active_customer_demographic_mix_score
wt_sessions_roll30,wt_unique_visitors_roll30,0.9998149863557126,wt_sessions,wt_unique_visitors
legacy_order_ratio_roll30,legacy_revenue_share_roll30,0.9998048828000704,legacy_order_ratio,legacy_revenue_share
daily_order_line_count_roll7,daily_total_quantity_roll7,0.9996825164726426,daily_order_line_count,daily_total_quantity
covid_intensity_lag7,covid_intensity_roll7,0.9996112402430631,covid_intensity,covid_intensity
size_mix_return_pressure_lag365,category_reason_weighted_return_risk_lag365,0.9994743111291309,size_mix_return_pressure,category_reason_weighted_return_risk
covid_intensity,covid_intensity_roll7,0.9993853982890805,covid_intensity,covid_intensity
legacy_order_ratio_roll7,legacy_revenue_share_roll7,0.999207259630952,legacy_order_ratio,legacy_revenue_share
daily_return_risk_index_lag365,size_mix_return_pressure_lag365,0.999142372805695,daily_return_risk_index,size_mix_return_pressure
legacy_order_ratio_roll7,legacy_order_ratio_roll30,0.9991385214054227,legacy_order_ratio,legacy_order_ratio
wt_sessions_roll7,wt_unique_visitors_roll7,0.9990698701559824,wt_sessions,wt_unique_visitors
daily_return_risk_index_lag365,category_reason_weighted_return_risk_lag365,0.999068235344353,daily_return_risk_index,category_reason_weighted_return_risk
market_era_lag7,market_era_roll7,0.9989815465189369,market_era,market_era
legacy_order_ratio_roll7,legacy_revenue_share_roll30,0.9989154271223248,legacy_order_ratio,legacy_revenue_share
daily_order_line_count_lag365,daily_total_quantity_lag365,0.9987081493872559,daily_order_line_count,daily_total_quantity
covid_intensity_lag7,covid_intensity_roll30,0.9986113550853059,covid_intensity,covid_intensity
daily_order_line_count_lag30,daily_total_quantity_lag30,0.9984637323945328,daily_order_line_count,daily_total_quantity
daily_order_line_count_lag7,daily_total_quantity_lag7,0.99844592474194,daily_order_line_count,daily_total_quantity
legacy_revenue_share_roll7,legacy_revenue_share_roll30,0.9984279162621206,legacy_revenue_share,legacy_revenue_share
covid_intensity,covid_intensity_lag7,0.9984206189043342,covid_intensity,covid_intensity
legacy_order_ratio_roll30,legacy_revenue_share_roll7,0.99828547580572,legacy_order_ratio,legacy_revenue_share
covid_intensity_roll7,covid_intensity_roll30,0.9979947529003625,covid_intensity,covid_intensity
daily_promo_line_count_roll7,daily_promo_order_count_roll7,0.9977127261342612,daily_promo_line_count,daily_promo_order_count
daily_promo_line_count_lag365,daily_promo_order_count_lag365,0.9976686550106159,daily_promo_line_count,daily_promo_order_count
wt_unique_visitors_roll30,wt_page_views_roll30,0.9976314214582018,wt_unique_visitors,wt_page_views
wt_sessions_roll30,wt_page_views_roll30,0.9976127674730899,wt_sessions,wt_page_views
daily_promo_line_count_lag30,daily_promo_order_count_lag30,0.9976054531957381,daily_promo_line_count,daily_promo_order_count
daily_promo_line_count_lag7,daily_promo_order_count_lag7,0.9975986241713198,daily_promo_line_count,daily_promo_order_count
daily_return_risk_index_roll7,daily_return_risk_index_roll30,0.9975677195911519,daily_return_risk_index,daily_return_risk_index
daily_order_line_count_lag365,daily_order_count_lag365,0.9973380314728789,daily_order_line_count,daily_order_count
market_era_lag7,market_era_roll30,0.9973309506663477,market_era,market_era
daily_promo_line_count_roll30,daily_promo_order_count_roll30,0.9971795357212938,daily_promo_line_count,daily_promo_order_count
