candidate,start_factor,end_factor,mean_factor,cogs_mix,revenue_mean,cogs_mean
recovery_accel_130_cogs102,1.15,1.45,1.3,1.02,4623297.1232844405,3842972.6672899164
recovery_accel_130_cogs104,1.15,1.45,1.3,1.04,4623297.1232844405,3918325.0725308955
recovery_accel_130_cogs106,1.15,1.45,1.3,1.06,4623297.1232844405,3993677.477771874
recovery_accel_135_cogs102,1.18,1.52,1.3499999999999999,1.02,4802237.875757193,3991704.838156103
recovery_accel_135_cogs104,1.18,1.52,1.3499999999999999,1.04,4802237.875757193,4069973.560472889
recovery_accel_135_cogs106,1.18,1.52,1.3499999999999999,1.06,4802237.875757193,4148242.282789676
recovery_accel_140_cogs102,1.2,1.6,1.4000000000000001,1.02,4981966.8023112165,4141087.381325827
recovery_accel_140_cogs104,1.2,1.6,1.4000000000000001,1.04,4981966.8023112165,4222285.173116529
recovery_accel_140_cogs106,1.2,1.6,1.4000000000000001,1.06,4981966.8023112165,4303482.964907232
recovery_accel_145_cogs102,1.22,1.68,1.45,1.02,5161695.728865243,4290469.924495551
recovery_accel_145_cogs104,1.22,1.68,1.45,1.04,5161695.728865243,4374596.78576017
recovery_accel_145_cogs106,1.22,1.68,1.45,1.06,5161695.728865243,4458723.647024788
