candidate,recovery_mean,recovery_start,recovery_end,cogs_mix,submission,revenue_mean,cogs_mean,profit_mean
recovery_accel_123_cogs105,1.23,1.115,1.345,1.05,data\output\submission_recovery_accel_123_cogs105.csv,4372228.347965698,3741183.3194490373,631045.0285166604
recovery_accel_123_cogs106,1.23,1.115,1.345,1.06,data\output\submission_recovery_accel_123_cogs106.csv,4372228.347965698,3776813.636777124,595414.7111885743
recovery_accel_123_cogs107,1.23,1.115,1.345,1.07,data\output\submission_recovery_accel_123_cogs107.csv,4372228.347965698,3812443.95410521,559784.3938604883
recovery_accel_123_cogs108,1.23,1.115,1.345,1.08,data\output\submission_recovery_accel_123_cogs108.csv,4372228.347965698,3848074.271433296,524154.0765324022
recovery_accel_123_cogs110,1.23,1.115,1.345,1.1,data\output\submission_recovery_accel_123_cogs110.csv,4372228.347965698,3919334.906089468,452893.4418762299
recovery_accel_123_cogs112,1.23,1.115,1.345,1.12,data\output\submission_recovery_accel_123_cogs112.csv,4372228.347965698,3990595.54074564,381632.8072200577
recovery_accel_124_cogs105,1.2400000000000002,1.12,1.36,1.05,data\output\submission_recovery_accel_124_cogs105.csv,4408095.315868376,3771871.5988350874,636223.7170332884
recovery_accel_124_cogs106,1.2400000000000002,1.12,1.36,1.06,data\output\submission_recovery_accel_124_cogs106.csv,4408095.315868376,3807794.18549066,600301.1303777162
recovery_accel_124_cogs107,1.2400000000000002,1.12,1.36,1.07,data\output\submission_recovery_accel_124_cogs107.csv,4408095.315868376,3843716.772146232,564378.543722144
recovery_accel_124_cogs108,1.2400000000000002,1.12,1.36,1.08,data\output\submission_recovery_accel_124_cogs108.csv,4408095.315868376,3879639.3588018045,528455.9570665716
recovery_accel_124_cogs110,1.2400000000000002,1.12,1.36,1.1,data\output\submission_recovery_accel_124_cogs110.csv,4408095.315868376,3951484.532112949,456610.783755427
recovery_accel_124_cogs112,1.2400000000000002,1.12,1.36,1.12,data\output\submission_recovery_accel_124_cogs112.csv,4408095.315868376,4023329.705424093,384765.6104442825
recovery_accel_125_cogs105,1.25,1.12,1.38,1.05,data\output\submission_recovery_accel_125_cogs105.csv,4444356.37081169,3802894.6286714873,641461.7421402024
recovery_accel_125_cogs106,1.25,1.12,1.38,1.06,data\output\submission_recovery_accel_125_cogs106.csv,4444356.37081169,3839112.6727540726,605243.6980576168
recovery_accel_125_cogs107,1.25,1.12,1.38,1.07,data\output\submission_recovery_accel_125_cogs107.csv,4444356.37081169,3875330.716836659,569025.6539750311
recovery_accel_125_cogs108,1.25,1.12,1.38,1.08,data\output\submission_recovery_accel_125_cogs108.csv,4444356.37081169,3911548.7609192445,532807.6098924455
recovery_accel_125_cogs110,1.25,1.12,1.38,1.1,data\output\submission_recovery_accel_125_cogs110.csv,4444356.37081169,3983984.8490844155,460371.5217272743
recovery_accel_125_cogs112,1.25,1.12,1.38,1.12,data\output\submission_recovery_accel_125_cogs112.csv,4444356.37081169,4056420.9372495865,387935.43356210296
recovery_accel_126_cogs105,1.26,1.13,1.39,1.05,data\output\submission_recovery_accel_126_cogs105.csv,4479829.25167373,3833248.157607186,646581.0940665446
recovery_accel_126_cogs106,1.26,1.13,1.39,1.06,data\output\submission_recovery_accel_126_cogs106.csv,4479829.25167373,3869755.282917731,610073.9687559998
recovery_accel_126_cogs107,1.26,1.13,1.39,1.07,data\output\submission_recovery_accel_126_cogs107.csv,4479829.25167373,3906262.4082282754,573566.8434454551
recovery_accel_126_cogs108,1.26,1.13,1.39,1.08,data\output\submission_recovery_accel_126_cogs108.csv,4479829.25167373,3942769.53353882,537059.7181349106
recovery_accel_126_cogs110,1.26,1.13,1.39,1.1,data\output\submission_recovery_accel_126_cogs110.csv,4479829.25167373,4015783.784159909,464045.46751382115
recovery_accel_126_cogs112,1.26,1.13,1.39,1.12,data\output\submission_recovery_accel_126_cogs112.csv,4479829.25167373,4088798.0347809982,391031.21689273184
recovery_accel_127_cogs105,1.27,1.135,1.405,1.05,data\output\submission_recovery_accel_127_cogs105.csv,4515696.219576408,3863936.436993236,651759.7825831725
recovery_accel_127_cogs106,1.27,1.135,1.405,1.06,data\output\submission_recovery_accel_127_cogs106.csv,4515696.219576408,3900735.831631267,614960.3879451416
recovery_accel_127_cogs107,1.27,1.135,1.405,1.07,data\output\submission_recovery_accel_127_cogs107.csv,4515696.219576408,3937535.2262692973,578160.9933071109
recovery_accel_127_cogs108,1.27,1.135,1.405,1.08,data\output\submission_recovery_accel_127_cogs108.csv,4515696.219576408,3974334.6209073286,541361.59866908
recovery_accel_127_cogs110,1.27,1.135,1.405,1.1,data\output\submission_recovery_accel_127_cogs110.csv,4515696.219576408,4047933.4101833906,467762.80939301825
recovery_accel_127_cogs112,1.27,1.135,1.405,1.12,data\output\submission_recovery_accel_127_cogs112.csv,4515696.219576408,4121532.1994594517,394164.02011695656
