fold,candidate,feature_profile,residual_scale,cogs_mix_factor,feature_count,train_start,train_end,holdout_days,revenue_mae,cogs_mae,official_mae,pred_revenue_mean,actual_revenue_mean,pred_cogs_mean,actual_cogs_mean,description
recovery_2021,seasonal_xgb_full,full,1.0,1.0,212,2012-07-04,2020-12-31,365,685844.7812306447,547082.9693298222,616463.8752802334,2838578.8409545277,2857643.3414520547,2342518.976158027,2578438.685369863,Baseline seasonal-XGB using the full feature profile.
recovery_2021,seasonal_xgb_market_uplift_135,full,1.35,1.0,212,2012-07-04,2020-12-31,365,684796.0628821028,549497.5337377992,617146.798309951,2822000.0674227164,2857643.3414520547,2328848.448682154,2578438.685369863,Conservative market-regime uplift applied to the business residual.
recovery_2021,seasonal_xgb_market_uplift_160,full,1.6,1.0,212,2012-07-04,2020-12-31,365,684545.4449482124,551918.3448894883,618231.8949188504,2810158.086328565,2857643.3414520547,2319083.786199387,2578438.685369863,Current public-best market-regime uplift candidate applied only to business residual.
recovery_2021,seasonal_xgb_core_business,core_plus_business,1.0,1.0,111,2012-07-04,2020-12-31,365,689493.366187836,519345.80522831884,604419.5857080774,3020742.996305555,2857643.3414520547,2490885.9358521244,2578438.685369863,Pruned business-driver feature profile without post-hoc residual uplift.
recovery_2021,seasonal_xgb_core_business_uplift_135,core_plus_business,1.35,1.0,111,2012-07-04,2020-12-31,365,699705.9918304565,518669.4702269737,609187.7310287151,3067921.677146603,2857643.3414520547,2529818.804471516,2578438.685369863,Business-driver feature profile with moderate market-regime uplift.
recovery_2021,seasonal_xgb_market_uplift_160_cogs098,full,1.6,0.98,212,2012-07-04,2020-12-31,365,684545.4449482124,565107.6741313733,624826.5595397928,2810158.086328565,2857643.3414520547,2272702.1104753995,2578438.685369863,Current public-best revenue path with lower COGS ratio mix.
recovery_2021,seasonal_xgb_market_uplift_160_cogs102,full,1.6,1.02,212,2012-07-04,2020-12-31,365,684545.4449482124,542047.1798571087,613296.3124026605,2810158.086328565,2857643.3414520547,2365465.461923375,2578438.685369863,Current public-best revenue path with higher COGS ratio mix.
recovery_2022,seasonal_xgb_full,full,1.0,1.0,212,2012-07-04,2021-12-31,365,807183.1232478935,752663.1171299237,779923.1201889087,2778915.1114267353,3204791.3196986304,2318753.6032247543,2795671.682109589,Baseline seasonal-XGB using the full feature profile.
recovery_2022,seasonal_xgb_market_uplift_135,full,1.35,1.0,212,2012-07-04,2021-12-31,365,818439.6606632881,764721.6258018544,791580.6432325712,2750642.4354202063,3204791.3196986304,2295173.6469965773,2795671.682109589,Conservative market-regime uplift applied to the business residual.
recovery_2022,seasonal_xgb_market_uplift_160,full,1.6,1.0,212,2012-07-04,2021-12-31,365,828449.1697759704,773839.5307368858,801144.3502564281,2730447.6668441147,3204791.3196986304,2278330.821119307,2795671.682109589,Current public-best market-regime uplift candidate applied only to business residual.
