candidate,fold,month,revenue_mae,cogs_mae,official_mae
seasonal_xgb_core_business,recovery_2021,2021-01,276091.351453074,246360.43821690528,261225.89483498965
seasonal_xgb_core_business,recovery_2021,2021-02,574852.4964959743,466415.4077966795,520633.9521463269
seasonal_xgb_core_business,recovery_2021,2021-03,649299.2744871826,555034.902390853,602167.0884390178
seasonal_xgb_core_business,recovery_2021,2021-04,806613.234402182,681106.2897961895,743859.7620991857
seasonal_xgb_core_business,recovery_2021,2021-05,918887.6170756253,743744.2475448942,831315.9323102598
seasonal_xgb_core_business,recovery_2021,2021-06,623326.3568479535,590500.7655930009,606913.5612204772
seasonal_xgb_core_business,recovery_2021,2021-07,681638.4376175094,671381.9611890137,676510.1994032615
seasonal_xgb_core_business,recovery_2021,2021-08,1753763.8204746456,586378.2585101959,1170071.0394924209
seasonal_xgb_core_business,recovery_2021,2021-09,619126.31766247,411548.919751003,515337.6187067365
seasonal_xgb_core_business,recovery_2021,2021-10,516109.27690647735,435066.54364278325,475587.9102746303
seasonal_xgb_core_business,recovery_2021,2021-11,437130.5160619915,378928.4277121436,408029.47188706754
seasonal_xgb_core_business,recovery_2021,2021-12,397220.41577371076,460067.69381049124,428644.05479210103
seasonal_xgb_core_business,recovery_2022,2022-01,620334.3938579098,558230.138426525,589282.2661422174
seasonal_xgb_core_business,recovery_2022,2022-02,842653.1634186863,692110.9183149474,767382.0408668169
seasonal_xgb_core_business,recovery_2022,2022-03,1105259.527052484,1169134.0139208327,1137196.7704866584
seasonal_xgb_core_business,recovery_2022,2022-04,750384.4110995003,797611.6986687294,773998.0548841148
seasonal_xgb_core_business,recovery_2022,2022-05,1027911.628250291,841662.4509325806,934787.0395914358
seasonal_xgb_core_business,recovery_2022,2022-06,757633.6906929051,716138.1367944529,736885.913743679
seasonal_xgb_core_business,recovery_2022,2022-07,583689.4217287467,672406.9523183736,628048.1870235602
seasonal_xgb_core_business,recovery_2022,2022-08,1251326.7462125574,1032901.5437580834,1142114.1449853205
seasonal_xgb_core_business,recovery_2022,2022-09,819412.6197802196,810092.8606561249,814752.7402181723
seasonal_xgb_core_business,recovery_2022,2022-10,471139.69930859574,380895.97756477795,426017.83843668684
seasonal_xgb_core_business,recovery_2022,2022-11,553256.776809085,518024.41016394435,535640.5934865146
seasonal_xgb_core_business,recovery_2022,2022-12,425419.31018747337,427952.7802104598,426686.0451989666
seasonal_xgb_core_business,recovery_2022_h2,2022-07,639505.5227997641,644574.1396523606,642039.8312260623
seasonal_xgb_core_business,recovery_2022_h2,2022-08,1063656.4668973794,889454.0906703818,976555.2787838806
seasonal_xgb_core_business,recovery_2022_h2,2022-09,780087.7191522762,726936.4339298479,753512.076541062
seasonal_xgb_core_business,recovery_2022_h2,2022-10,447356.8901969321,376357.88728479354,411857.38874086284
seasonal_xgb_core_business,recovery_2022_h2,2022-11,576785.1184802513,507587.4233465563,542186.2709134038
seasonal_xgb_core_business,recovery_2022_h2,2022-12,515295.0929773999,399810.4355873848,457552.76428239234
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-01,272791.57622706104,250167.15857337546,261479.36740021827
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-02,575491.0209351201,466522.03526564356,521006.52810038184
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-03,633338.501585709,540528.7995793067,586933.650582508
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-04,835331.5094432348,708460.8480667045,771896.1787549696
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-05,910248.9170640999,733753.4162806786,822001.1666723893
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-06,606193.7189058523,577230.3188462089,591712.0188760306
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-07,674472.2041926304,655031.4433852255,664751.8237889279
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-08,1820762.1330187484,602058.1632339411,1211410.1481263447
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-09,624545.4040410508,413557.3612432966,519051.3826421737
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-10,538378.5524687883,453092.27028682607,495735.4113778072
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-11,452413.590153535,371005.9356197941,411709.7628866646
