fold,candidate,feature_profile,residual_scale,cogs_mix_factor,feature_count,train_start,train_end,holdout_days,revenue_mae,cogs_mae,official_mae,pred_revenue_mean,actual_revenue_mean,pred_cogs_mean,actual_cogs_mean,description
recovery_2021,seasonal_xgb_full,full,1.0,1.0,303,2012-07-04,2020-12-31,365,671698.9381921871,545935.59244468,608817.2653184335,2996223.0567454095,2857643.3414520547,2310137.8525667726,2578438.685369863,Baseline seasonal-XGB using the full feature profile.
recovery_2021,seasonal_xgb_market_uplift_135,full,1.35,1.0,303,2012-07-04,2020-12-31,365,672733.8109467903,536123.883131146,604428.8470389681,3034819.758740407,2857643.3414520547,2339896.7568293847,2578438.685369863,Conservative market-regime uplift applied to the business residual.
recovery_2021,seasonal_xgb_market_uplift_160,full,1.6,1.0,303,2012-07-04,2020-12-31,365,676940.1658730175,531099.0521912501,604019.6090321338,3062388.831593976,2857643.3414520547,2361153.117016965,2578438.685369863,Current public-best market-regime uplift candidate applied only to business residual.
recovery_2021,seasonal_xgb_core_business,core_plus_business,1.0,1.0,120,2012-07-04,2020-12-31,365,691023.4749944109,593548.737709446,642286.1063519284,3067053.714485671,2857643.3414520547,2687275.402741552,2578438.685369863,Pruned business-driver feature profile without post-hoc residual uplift.
recovery_2021,seasonal_xgb_core_business_uplift_135,core_plus_business,1.35,1.0,120,2012-07-04,2020-12-31,365,705001.0119082852,604824.0269391519,654912.5194237186,3130441.146689759,2857643.3414520547,2742340.1154792886,2578438.685369863,Business-driver feature profile with moderate market-regime uplift.
recovery_2021,seasonal_xgb_market_uplift_160_cogs098,full,1.6,0.98,303,2012-07-04,2020-12-31,365,676940.1658730175,543420.5764797815,610180.3711763995,3062388.831593976,2857643.3414520547,2313930.0546766254,2578438.685369863,Current public-best revenue path with lower COGS ratio mix.
recovery_2021,seasonal_xgb_market_uplift_160_cogs102,full,1.6,1.02,303,2012-07-04,2020-12-31,365,676940.1658730175,522628.71042435674,599784.4381486871,3062388.831593976,2857643.3414520547,2408376.179357304,2578438.685369863,Current public-best revenue path with higher COGS ratio mix.
recovery_2022,seasonal_xgb_full,full,1.0,1.0,303,2012-07-04,2021-12-31,365,734863.610755421,756841.8469988431,745852.7288771321,2921417.057735864,3204791.3196986304,2257283.563524953,2795671.682109589,Baseline seasonal-XGB using the full feature profile.
recovery_2022,seasonal_xgb_market_uplift_135,full,1.35,1.0,303,2012-07-04,2021-12-31,365,730140.8146176296,747987.8364578377,739064.3255377337,2943020.06293753,3204791.3196986304,2273965.7467609695,2795671.682109589,Conservative market-regime uplift applied to the business residual.
recovery_2022,seasonal_xgb_market_uplift_160,full,1.6,1.0,303,2012-07-04,2021-12-31,365,728765.312633489,745158.0674495093,736961.6900414992,2958450.780938721,3204791.3196986304,2285881.591929552,2795671.682109589,Current public-best market-regime uplift candidate applied only to business residual.
recovery_2022,seasonal_xgb_core_business,core_plus_business,1.0,1.0,120,2012-07-04,2021-12-31,365,749585.3024317031,667829.3604896254,708707.3314606643,2990816.978683798,3204791.3196986304,2561877.0271829925,2795671.682109589,Pruned business-driver feature profile without post-hoc residual uplift.
recovery_2022,seasonal_xgb_core_business_uplift_135,core_plus_business,1.35,1.0,120,2012-07-04,2021-12-31,365,747072.8062638248,661710.024446729,704391.4153552769,3036709.956217242,3204791.3196986304,2601774.082811785,2795671.682109589,Business-driver feature profile with moderate market-regime uplift.
