candidate,fold,month,revenue_mae,cogs_mae,official_mae
seasonal_xgb_core_business,recovery_2021,2021-01,300679.0757500615,281616.12731575355,291147.6015329075
seasonal_xgb_core_business,recovery_2021,2021-02,573221.6676531725,463150.67586185486,518186.17175751366
seasonal_xgb_core_business,recovery_2021,2021-03,626313.4726290558,528207.1734492818,577260.3230391688
seasonal_xgb_core_business,recovery_2021,2021-04,834170.281277182,712158.3823777915,773164.3318274867
seasonal_xgb_core_business,recovery_2021,2021-05,912141.1116645706,735231.6692176162,823686.3904410934
seasonal_xgb_core_business,recovery_2021,2021-06,608999.3251846788,569168.0099975865,589083.6675911327
seasonal_xgb_core_business,recovery_2021,2021-07,659624.6646702009,618505.7486575197,639065.2066638602
seasonal_xgb_core_business,recovery_2021,2021-08,1723719.7795692775,1467277.0860706177,1595498.4328199476
seasonal_xgb_core_business,recovery_2021,2021-09,657251.2309437201,458423.39950023004,557837.3152219751
seasonal_xgb_core_business,recovery_2021,2021-10,533146.81351182,456690.56882222526,494918.6911670227
seasonal_xgb_core_business,recovery_2021,2021-11,462070.8314360871,385855.09098925465,423962.9612126709
seasonal_xgb_core_business,recovery_2021,2021-12,383039.97296053346,425662.7185273077,404351.34574392054
seasonal_xgb_core_business,recovery_2022,2022-01,543437.3077110231,496598.80033769755,520018.0540243604
seasonal_xgb_core_business,recovery_2022,2022-02,810495.1280472727,664320.9583203028,737408.0431837877
seasonal_xgb_core_business,recovery_2022,2022-03,1050666.0834620968,1075952.8321062142,1063309.4577841554
seasonal_xgb_core_business,recovery_2022,2022-04,722764.1902534765,755492.2649701808,739128.2276118286
seasonal_xgb_core_business,recovery_2022,2022-05,1025889.3818730229,836927.4113158537,931408.3965944382
seasonal_xgb_core_business,recovery_2022,2022-06,771617.1139820602,715787.319421611,743702.2167018356
seasonal_xgb_core_business,recovery_2022,2022-07,594036.8532013288,650296.0014991506,622166.4273502397
seasonal_xgb_core_business,recovery_2022,2022-08,1209131.2412251972,792192.0948988047,1000661.668062001
seasonal_xgb_core_business,recovery_2022,2022-09,779503.7230265554,733442.5573161668,756473.1401713612
seasonal_xgb_core_business,recovery_2022,2022-10,457235.9017895243,378351.30799017154,417793.6048898479
seasonal_xgb_core_business,recovery_2022,2022-11,545939.0151842533,501775.01186032774,523857.0135222905
seasonal_xgb_core_business,recovery_2022,2022-12,484443.5703783756,413611.0724552101,449027.3214167928
seasonal_xgb_core_business,recovery_2022_h2,2022-07,618612.3077575031,649013.2480864798,633812.7779219914
seasonal_xgb_core_business,recovery_2022_h2,2022-08,1205303.1337732428,805524.4728986707,1005413.8033359568
seasonal_xgb_core_business,recovery_2022_h2,2022-09,801824.3967370951,764667.3861652107,783245.891451153
seasonal_xgb_core_business,recovery_2022_h2,2022-10,455872.2130726955,373155.8103227175,414514.0116977065
seasonal_xgb_core_business,recovery_2022_h2,2022-11,540838.538335942,507726.6634822178,524282.6009090799
seasonal_xgb_core_business,recovery_2022_h2,2022-12,443253.00019262626,402607.27041808976,422930.135305358
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-01,309528.3237343145,297422.9542464488,303475.6389903816
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-02,582876.8022346303,475874.7463932998,529375.7743139651
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-03,613653.773446114,538890.8472442076,576272.3103451608
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-04,864517.2012641614,752664.3789083691,808590.7900862652
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-05,899383.7001458583,729238.8145570271,814311.2573514427
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-06,596167.3559312082,554278.4669399596,575222.9114355838
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-07,650582.5259416223,594269.5914182132,622426.0586799178
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-08,1780202.677796502,1532731.4951412135,1656467.0864688577
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-09,678823.6035384381,472424.88531037426,575624.2444244062
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-10,561379.2268860011,481966.1064668724,521672.6666764367
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-11,492343.0980031507,394330.0425497373,443336.570276444
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-12,412665.9372704165,413394.5045558516,413030.22091313405
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-01,543022.3217248813,491825.2824362382,517423.8020805598
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-02,800889.0927933665,658650.8916654551,729769.9922294108
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-03,1006835.5882252016,1034965.814667134,1020900.7014461678
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-04,737032.741519421,761835.7193509887,749434.2304352049
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-05,1023458.9505048904,836514.4019320587,929986.6762184745
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-06,768541.7837021124,709919.1858830521,739230.4847925822
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-07,604915.992285457,641562.2311398614,623239.1117126592
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-08,1159125.319879431,765139.8110064155,962132.5654429232
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-09,775535.5175304548,727245.5076925165,751390.5126114857
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-10,455620.5146376774,377492.4271464073,416556.4708920424
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-11,568535.7261217535,512710.24100156466,540622.983561659
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-12,522095.7198995449,424455.3329163915,473275.5264079682
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-07,641988.654464406,641408.8209138148,641698.7376891105
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-08,1155652.7212151089,778745.644101451,967199.18265828
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-09,802796.458857449,766414.6124418884,784605.5356496687
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-10,446122.9721799284,365772.6040017974,405947.7880908629
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-11,557161.4478671919,515592.7392036441,536377.0935354179
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-12,466488.4364656228,400780.068272137,433634.2523688799
seasonal_xgb_full,recovery_2021,2021-01,301046.09413749154,247437.93104416583,274242.0125908287
seasonal_xgb_full,recovery_2021,2021-02,566827.0386974252,469059.4774334766,517943.2580654509
seasonal_xgb_full,recovery_2021,2021-03,643218.9754012333,590467.5438225319,616843.2596118826
seasonal_xgb_full,recovery_2021,2021-04,770352.4477242937,651543.9501874904,710948.1989558921
seasonal_xgb_full,recovery_2021,2021-05,925353.4156688859,797372.0306091926,861362.7231390392
seasonal_xgb_full,recovery_2021,2021-06,611932.3007212951,704474.1498952177,658203.2253082565
seasonal_xgb_full,recovery_2021,2021-07,662745.6259365617,822360.0222315863,742552.824084074
seasonal_xgb_full,recovery_2021,2021-08,1662856.967935583,579521.83568143,1121189.4018085066
seasonal_xgb_full,recovery_2021,2021-09,603032.1054293124,390776.0075862869,496904.05650779966
seasonal_xgb_full,recovery_2021,2021-10,475533.96305189066,373080.0292258766,424306.99613888364
seasonal_xgb_full,recovery_2021,2021-11,438470.9462253634,391315.5514792235,414893.2488522935
seasonal_xgb_full,recovery_2021,2021-12,380384.3563719812,524906.933182776,452645.6447773786
seasonal_xgb_full,recovery_2022,2022-01,599244.9538180912,576772.9403862443,588008.9471021678
seasonal_xgb_full,recovery_2022,2022-02,809244.7481644602,698723.9308107671,753984.3394876136
seasonal_xgb_full,recovery_2022,2022-03,1027972.9851758064,1242655.4003696768,1135314.1927727417
seasonal_xgb_full,recovery_2022,2022-04,744156.1137999364,898608.2052972446,821382.1595485904
seasonal_xgb_full,recovery_2022,2022-05,992343.1209772229,831497.8094623048,911920.4652197638
seasonal_xgb_full,recovery_2022,2022-06,703475.3969162093,757806.1151825421,730640.7560493757
seasonal_xgb_full,recovery_2022,2022-07,590895.982636736,770474.0501858867,680685.0164113113
seasonal_xgb_full,recovery_2022,2022-08,939668.0544815445,870180.4814021488,904924.2679418467
seasonal_xgb_full,recovery_2022,2022-09,821881.5252619202,874025.4109471078,847953.4681045141
seasonal_xgb_full,recovery_2022,2022-10,552176.190768952,527898.6522012337,540037.4214850928
seasonal_xgb_full,recovery_2022,2022-11,519077.0245310239,534092.9148022531,526584.9696666385
seasonal_xgb_full,recovery_2022,2022-12,520558.81413684314,494940.81776675576,507749.81595179945
seasonal_xgb_full,recovery_2022_h2,2022-07,657180.4043467254,658371.2231253927,657775.813736059
seasonal_xgb_full,recovery_2022_h2,2022-08,860598.1862842871,784827.7539195236,822712.9701019053
seasonal_xgb_full,recovery_2022_h2,2022-09,753892.883786508,726597.4865678671,740245.1851771876
seasonal_xgb_full,recovery_2022_h2,2022-10,483888.5612213777,390415.42818427423,437151.99470282596
seasonal_xgb_full,recovery_2022_h2,2022-11,577185.1331520142,485851.2762191153,531518.2046855647
seasonal_xgb_full,recovery_2022_h2,2022-12,518075.09367692587,408152.26772848895,463113.6807027074
seasonal_xgb_market_uplift_135,recovery_2021,2021-01,294402.0429687667,238766.9523841722,266584.49767646944
seasonal_xgb_market_uplift_135,recovery_2021,2021-02,568950.5163808358,463197.31711041793,516073.91674562683
seasonal_xgb_market_uplift_135,recovery_2021,2021-03,632602.9935646089,560691.7207329564,596647.3571487826
seasonal_xgb_market_uplift_135,recovery_2021,2021-04,773614.2000190442,634253.0624611119,703933.631240078
seasonal_xgb_market_uplift_135,recovery_2021,2021-05,912600.4610821924,789971.605513655,851286.0332979236
seasonal_xgb_market_uplift_135,recovery_2021,2021-06,601271.3915214603,678878.9851235393,640075.1883224999
seasonal_xgb_market_uplift_135,recovery_2021,2021-07,649914.9860734856,817184.4721477105,733549.7291105981
seasonal_xgb_market_uplift_135,recovery_2021,2021-08,1698037.882091014,587416.6141856167,1142727.2481383153
seasonal_xgb_market_uplift_135,recovery_2021,2021-09,599972.3607678541,388649.6662624333,494311.0135151437
seasonal_xgb_market_uplift_135,recovery_2021,2021-10,483601.87876509636,381275.9491761196,432438.913970608
seasonal_xgb_market_uplift_135,recovery_2021,2021-11,444468.32405190036,381752.31372961437,413110.3188907574
seasonal_xgb_market_uplift_135,recovery_2021,2021-12,394563.5698453935,502424.02897188655,448493.79940864
seasonal_xgb_market_uplift_135,recovery_2022,2022-01,610125.9442540791,585083.8069760763,597604.8756150778
seasonal_xgb_market_uplift_135,recovery_2022,2022-02,799201.0799515696,680043.9649892645,739622.522470417
seasonal_xgb_market_uplift_135,recovery_2022,2022-03,976199.9055387096,1199187.366220084,1087693.635879397
seasonal_xgb_market_uplift_135,recovery_2022,2022-04,765490.5967231133,880777.5594136731,823134.0780683933
seasonal_xgb_market_uplift_135,recovery_2022,2022-05,991427.6005387149,825130.7923534614,908279.1964460881
seasonal_xgb_market_uplift_135,recovery_2022,2022-06,679151.3645346175,751041.0524847909,715096.2085097042
seasonal_xgb_market_uplift_135,recovery_2022,2022-07,595358.6215165243,783229.0090577215,689293.815287123
seasonal_xgb_market_uplift_135,recovery_2022,2022-08,847664.5572668762,777956.264035261,812810.4106510687
seasonal_xgb_market_uplift_135,recovery_2022,2022-09,833383.8050711539,893747.1500049225,863565.4775380383
seasonal_xgb_market_uplift_135,recovery_2022,2022-10,571476.2526546627,547364.3774780504,559420.3150663566
seasonal_xgb_market_uplift_135,recovery_2022,2022-11,524608.6872930465,539950.3701314098,532279.5287122282
seasonal_xgb_market_uplift_135,recovery_2022,2022-12,570480.456557302,508140.16860087874,539310.3125790904
seasonal_xgb_market_uplift_135,recovery_2022_h2,2022-07,717179.9589908688,639773.7446135806,678476.8518022248
seasonal_xgb_market_uplift_135,recovery_2022_h2,2022-08,779356.8523865097,697752.9533369022,738554.902861706
seasonal_xgb_market_uplift_135,recovery_2022_h2,2022-09,745880.3932135912,697007.1333822601,721443.7632979257
seasonal_xgb_market_uplift_135,recovery_2022_h2,2022-10,495960.0980746893,393724.7167182423,444842.4073964658
seasonal_xgb_market_uplift_135,recovery_2022_h2,2022-11,630843.0501232027,489283.88118664484,560063.4656549238
seasonal_xgb_market_uplift_135,recovery_2022_h2,2022-12,596651.1529608808,396465.8628670758,496558.5079139783
seasonal_xgb_market_uplift_160,recovery_2021,2021-01,291339.93940836156,233901.3829755372,262620.6611919494
seasonal_xgb_market_uplift_160,recovery_2021,2021-02,574523.3889394295,461651.6401043651,518087.5145218973
seasonal_xgb_market_uplift_160,recovery_2021,2021-03,648547.9972600144,550298.8232824543,599423.4102712343
seasonal_xgb_market_uplift_160,recovery_2021,2021-04,778456.6823188489,628244.141613103,703350.411965976
seasonal_xgb_market_uplift_160,recovery_2021,2021-05,904598.4213146414,785681.527644222,845139.9744794318
seasonal_xgb_market_uplift_160,recovery_2021,2021-06,595188.4999137439,660596.7245723405,627892.6122430422
seasonal_xgb_market_uplift_160,recovery_2021,2021-07,642349.0008636821,813487.6506592276,727918.3257614549
seasonal_xgb_market_uplift_160,recovery_2021,2021-08,1723167.1064877503,593055.7416886074,1158111.424088179
seasonal_xgb_market_uplift_160,recovery_2021,2021-09,598224.8928903347,387652.98779144266,492938.9403408887
seasonal_xgb_market_uplift_160,recovery_2021,2021-10,489364.6757031004,387130.1777120075,438247.4267075539
seasonal_xgb_market_uplift_160,recovery_2021,2021-11,451789.22254636645,375985.9255942878,413887.5740703271
seasonal_xgb_market_uplift_160,recovery_2021,2021-12,406656.30164853146,486461.3005459717,446558.8010972516
seasonal_xgb_market_uplift_160,recovery_2022,2022-01,617898.0802797849,591020.1402545278,604459.1102671563
seasonal_xgb_market_uplift_160,recovery_2022,2022-02,792027.0312280763,670767.4901339611,731397.2606810187
seasonal_xgb_market_uplift_160,recovery_2022,2022-03,939219.1343693548,1168138.7703989458,1053678.9523841504
seasonal_xgb_market_uplift_160,recovery_2022,2022-04,780729.5130968112,879491.93187304,830110.7224849256
seasonal_xgb_market_uplift_160,recovery_2022,2022-05,990773.6573683519,820582.9229900015,905678.2901791767
seasonal_xgb_market_uplift_160,recovery_2022,2022-06,661777.0556906234,746916.3026124013,704346.6791515123
seasonal_xgb_market_uplift_160,recovery_2022,2022-07,598546.2207163731,793083.6233547322,695814.9220355526
seasonal_xgb_market_uplift_160,recovery_2022,2022-08,801111.5459321443,727795.4076806621,764453.4768064031
seasonal_xgb_market_uplift_160,recovery_2022,2022-09,842602.3665803499,907834.10647479,875218.2365275699
seasonal_xgb_market_uplift_160,recovery_2022,2022-10,585262.011144456,561268.466961491,573265.2390529735
seasonal_xgb_market_uplift_160,recovery_2022,2022-11,530025.5886114058,544134.2667950931,537079.9277032495
seasonal_xgb_market_uplift_160,recovery_2022,2022-12,608110.2055915236,526817.3348970677,567463.7702442957
seasonal_xgb_market_uplift_160,recovery_2022_h2,2022-07,765097.146868893,626489.8313908578,695793.4891298753
seasonal_xgb_market_uplift_160,recovery_2022_h2,2022-08,743745.0938965539,650362.4377406798,697053.7658186168
seasonal_xgb_market_uplift_160,recovery_2022_h2,2022-09,745491.349346086,677166.9915214039,711329.170433745
seasonal_xgb_market_uplift_160,recovery_2022_h2,2022-10,514349.4287685028,398432.1942856954,456390.8115270991
seasonal_xgb_market_uplift_160,recovery_2022_h2,2022-11,675148.2467913276,501870.27074010216,588509.2587657149
seasonal_xgb_market_uplift_160,recovery_2022_h2,2022-12,656818.9857247224,405143.3629662003,530981.1743454613
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-01,291339.93940836156,235930.06395341738,263635.00168088946
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-02,574523.3889394295,463825.87777168123,519174.63335555536
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-03,648547.9972600144,558944.7797042156,603746.388482115
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-04,778456.6823188489,634666.1682649746,706561.4252919117
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-05,904598.4213146414,809774.8638848861,857186.6425997638
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-06,595188.4999137439,702735.3464942272,648961.9232039856
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-07,642349.0008636821,850521.1501041077,746435.0754838949
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-08,1723167.1064877503,598621.9924806502,1160894.5494842003
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-09,598224.8928903347,393654.8321886538,495939.8625394943
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-10,489364.6757031004,382249.73219002533,435807.20394656283
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-11,451789.22254636645,380759.1467018166,416274.1846240915
seasonal_xgb_market_uplift_160_cogs098,recovery_2021,2021-12,406656.30164853146,499664.54761892324,453160.42463372735
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-01,617898.0802797849,602367.9686706191,610133.024475202
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-02,792027.0312280763,681814.1087984055,736920.5700132409
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-03,939219.1343693548,1212361.3861780637,1075790.2602737092
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-04,780729.5130968112,910358.0892897992,845543.8011933053
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-05,990773.6573683519,835775.6874185734,913274.6723934626
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-06,661777.0556906234,785280.297576589,723528.6766336062
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-07,598546.2207163731,819604.1038243707,709075.1622703718
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-08,801111.5459321443,744071.2784640098,772591.412198077
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-09,842602.3665803499,929613.4592186274,886107.9128994886
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-10,585262.011144456,584048.0016609709,584655.0064027135
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-11,530025.5886114058,550153.7069258579,540089.6477686318
seasonal_xgb_market_uplift_160_cogs098,recovery_2022,2022-12,608110.2055915236,526206.1932072389,567158.1993993812
seasonal_xgb_market_uplift_160_cogs098,recovery_2022_h2,2022-07,765097.146868893,639215.1825952986,702156.1647320958
seasonal_xgb_market_uplift_160_cogs098,recovery_2022_h2,2022-08,743745.0938965539,658424.0407690012,701084.5673327775
seasonal_xgb_market_uplift_160_cogs098,recovery_2022_h2,2022-09,745491.349346086,690439.4380646901,717965.3937053881
seasonal_xgb_market_uplift_160_cogs098,recovery_2022_h2,2022-10,514349.4287685028,393793.32361288473,454071.37619069376
